second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
32	44538108.00	29140816.00	12921.00	15383094.00	0.00	1279.00	44538492.00	15383577.00	0.00	15383331.00	13755843.00	0.00	52.00	0.00	35594176.00	14264385.00	0.00	14264284.00	7065454.00	52.00	0.00	0.00	8928628.00	1119192.00	0.00	1119047.00	6690389.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2109.00	29140808.00	
33	44755952.00	29139196.00	9963.00	15605829.00	0.00	955.00	44754868.00	15605322.00	0.00	15605367.00	13530847.00	0.00	71.00	0.00	35886360.00	14409921.00	0.00	14410105.00	7066265.00	71.00	0.00	0.00	8855244.00	1195400.00	0.00	1195262.00	6464582.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1978.00	29139200.00	
34	44711572.00	29021938.00	7701.00	15681269.00	0.00	654.00	44713728.00	15680991.00	0.00	15680669.00	13338624.00	0.00	56.00	0.00	35980548.00	14463732.00	0.00	14463524.00	7053236.00	56.00	0.00	0.00	8719793.00	1217260.00	0.00	1217145.00	6285388.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1823.00	29021940.00	
35	44652328.00	28874140.00	6979.00	15770683.00	0.00	527.00	44659256.00	15770863.00	0.00	15770682.00	13101849.00	0.00	62.00	0.00	36022192.00	14508333.00	0.00	14508255.00	7005541.00	62.00	0.00	0.00	8621265.00	1262530.00	0.00	1262427.00	6096308.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1857.00	28874136.00	
36	43546980.00	28041098.00	8112.00	15497060.00	0.00	706.00	43548580.00	15496958.00	0.00	15496970.00	12541638.00	0.00	66.00	0.00	35192800.00	14203724.00	0.00	14203801.00	6785208.00	66.00	0.00	0.00	8342833.00	1293234.00	0.00	1293169.00	5756430.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3963.00	28041100.00	
37	44581340.00	28574622.00	5739.00	16000613.00	0.00	372.00	44588896.00	16000894.00	0.00	16000545.00	12572657.00	0.00	60.00	0.00	36167732.00	14634356.00	0.00	14634128.00	6899191.00	60.00	0.00	0.00	8406421.00	1366538.00	0.00	1366417.00	5673466.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1750.00	28574624.00	
38	44803180.00	28707220.00	5181.00	16090448.00	0.00	334.00	44808636.00	16090423.00	0.00	16090438.00	12614943.00	0.00	100.00	0.00	36469720.00	14755656.00	0.00	14755769.00	6958193.00	100.00	0.00	0.00	8326186.00	1334768.00	0.00	1334668.00	5656750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1609.00	28707220.00	
39	44868040.00	28797656.00	5470.00	16064522.00	0.00	395.00	44872196.00	16064297.00	0.00	16064290.00	12731202.00	0.00	78.00	0.00	36570408.00	14773916.00	0.00	14773938.00	7022475.00	78.00	0.00	0.00	8289460.00	1290380.00	0.00	1290353.00	5708727.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1580.00	28797654.00	
40	44888908.00	28807458.00	4712.00	16076385.00	0.00	353.00	44896032.00	16076648.00	0.00	16076469.00	12730043.00	0.00	73.00	0.00	36612792.00	14785965.00	0.00	14785865.00	7040892.00	73.00	0.00	0.00	8270438.00	1290683.00	0.00	1290604.00	5689151.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1400.00	28807456.00	
41	44875832.00	28820710.00	3963.00	16050823.00	0.00	334.00	44883240.00	16050752.00	0.00	16050795.00	12768686.00	0.00	114.00	0.00	36624088.00	14773613.00	0.00	14773676.00	7076679.00	114.00	0.00	0.00	8246264.00	1277139.00	0.00	1277119.00	5692006.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1302.00	28820712.00	
