hit_rate_ini:	0.0481204	miss_ratio_ini:	1
0	10457	0.113083	0.999878	1
1	11875	0.145788	0.999756	1
2	15642	0.167679	0.999634	1
3	10895	0.184141	0.999512	1
4	13461	0.197341	0.99939	1
5	9553	0.208357	0.999268	1
6	10493	0.217814	0.999146	1
8	11244	0.225187	0.999023	1
7	19093	0.233475	0.998901	1
9	9027	0.240116	0.998779	1
10	10748	0.246159	0.998657	1
12	13293	0.251281	0.998535	1
11	14228	0.256826	0.998413	1
13	11957	0.261585	0.998291	1
18	9897	0.265099	0.998169	1
14	14768	0.269545	0.998047	1
15	15062	0.273715	0.997925	1
21	11237	0.276754	0.997803	1
16	20888	0.280682	0.997681	1
17	23324	0.284394	0.997559	1
19	14723	0.287737	0.997437	1
20	9536	0.290919	0.997314	1
22	9123	0.293826	0.997192	1
26	11067	0.296306	0.99707	1
24	16803	0.298986	0.996948	1
29	8202	0.301218	0.996826	1
23	24481	0.304009	0.996704	1
27	22515	0.306405	0.996582	1
25	18181	0.308983	0.99646	1
38	22256	0.310707	0.996338	1
28	9143	0.313017	0.996216	1
32	15039	0.315051	0.996094	1
30	17437	0.317216	0.995972	1
36	16037	0.319032	0.99585	1
31	22006	0.32113	0.995728	1
33	24603	0.323107	0.995605	1
40	16057	0.324747	0.995483	1
48	14340	0.32612	0.995361	1
35	12713	0.327985	0.995239	1
42	10268	0.329547	0.995117	1
43	22189	0.331078	0.994995	1
52	11886	0.332347	0.994873	1
39	12289	0.334027	0.994751	1
34	12174	0.335944	0.994629	1
41	12319	0.337544	0.994507	1
44	118428	0.339043	0.994385	1
58	13546	0.340185	0.994263	1
37	23400	0.341955	0.994141	1
62	17771	0.343026	0.994019	1
45	9148	0.344486	0.993896	1
47	17110	0.345888	0.993774	1
53	15314	0.347136	0.993652	1
54	12739	0.34836	0.99353	1
55	27262	0.349565	0.993408	1
56	12237	0.350746	0.993286	1
46	8812	0.352174	0.993164	1
57	11818	0.353335	0.993042	1
51	17211	0.354631	0.99292	1
49	12927	0.355976	0.992798	1
50	14446	0.357296	0.992676	1
74	14023	0.358196	0.992554	1
65	16367	0.359218	0.992432	1
59	12541	0.36034	0.99231	1
72	19025	0.361266	0.992188	1
76	24526	0.362144	0.992065	1
60	11722	0.363247	0.991943	1
70	22505	0.364199	0.991821	1
61	11391	0.365285	0.991699	1
69	10987	0.366247	0.991577	1
67	18414	0.36724	0.991455	1
71	13818	0.368176	0.991333	1
68	11186	0.369152	0.991211	1
75	17162	0.370041	0.991089	1
79	9184	0.370881	0.990967	1
96	23917	0.37158	0.990845	1
86	52359	0.372359	0.990723	1
78	13371	0.373213	0.990601	1
81	9886	0.374034	0.990479	1
80	11740	0.374866	0.990356	1
64	16433	0.375904	0.990234	1
84	19862	0.376699	0.990112	1
63	20470	0.377754	0.98999	1
82	11806	0.378566	0.989868	1
92	50517	0.379295	0.989746	1
66	19549	0.380303	0.989624	1
108	17336	0.380924	0.989502	1
111	8983	0.381524	0.98938	1
95	20263	0.382229	0.989258	1
73	115899	0.383145	0.989136	1
113	16356	0.383738	0.989014	1
90	18833	0.384481	0.988892	1
175	20680	0.384866	0.98877	1
174	15989	0.385253	0.988647	1
124	13809	0.385793	0.988525	1
151	13438	0.386237	0.988403	1
240	27191	0.386519	0.988281	1
181	13473	0.38689	0.988159	1
182	14269	0.387259	0.988037	1
386	18452	0.387433	0.987915	1
264	49932	0.387691	0.987793	1
285	24203	0.387928	0.987671	1
309	42429	0.388149	0.987549	1
510	15895	0.388279	0.987427	1
417	11123	0.388438	0.987305	1
431	16384	0.388594	0.987183	1
302	23357	0.388817	0.987061	1
461	9914	0.38896	0.986938	1
408	11479	0.389122	0.986816	1
519	36711	0.389253	0.986694	1
459	22043	0.3894	0.986572	1
438	9712	0.38955	0.98645	1
470	12650	0.389691	0.986328	1
521	22327	0.389821	0.986206	1
433	11371	0.389973	0.986084	1
564	16696	0.390092	0.985962	1
631	33904	0.390199	0.98584	1
572	11033	0.390313	0.985718	1
723	13142	0.390404	0.985596	1
678	12708	0.3905	0.985474	1
676	8975	0.390595	0.985352	1
593	13221	0.390706	0.985229	1
895	608552	0.390784	0.985107	1
809	20287	0.390866	0.984985	1
743	11729	0.390953	0.984863	1
827	21400	0.391034	0.984741	1
1008	9949	0.391095	0.984619	1
1128	13847	0.391152	0.984497	1
806	20024	0.391234	0.984375	1
728	18118	0.391326	0.984253	1
992	14169	0.391391	0.984131	1
834	12516	0.391468	0.984009	1
1049	17434	0.39153	0.983887	1
917	9339	0.391599	0.983765	1
914	332360	0.391674	0.983643	1
1023	17061	0.391738	0.983521	1
1137	12164	0.391794	0.983398	1
930	15611	0.391864	0.983276	1
989	14015	0.391929	0.983154	1
1158	44962	0.391988	0.983032	1
871	11307	0.392061	0.98291	1
1432	20018	0.392106	0.982788	1
1515	20534	0.392149	0.982666	1
1104	9427	0.392204	0.982544	1
1324	15594	0.392252	0.982422	1
1220	17896	0.392305	0.9823	1
1314	15111	0.392354	0.982178	1
1210	23721	0.392408	0.982056	1
1232	15078	0.39246	0.981934	1
1105	17125	0.392519	0.981812	1
1161	16432	0.392575	0.981689	1
1097	10069	0.392631	0.981567	1
1062	22047	0.392693	0.981445	1
1239	18272	0.392746	0.981323	1
1247	10224	0.392795	0.981201	1
1456	14820	0.392838	0.981079	1
1505	123403	0.392884	0.980957	1
1444	17025	0.392928	0.980835	1
1652	121169	0.392969	0.980713	1
1501	17734	0.393012	0.980591	1
