hit_rate_ini:	0.0474645	miss_ratio_ini:	1
611	2763	0.367896	0.947266	1
586	4127	0.367997	0.946777	1
659	3959	0.368084	0.946289	1
629	13855	0.368189	0.945801	1
619	4293	0.368284	0.945312	1
776	3933	0.368355	0.944824	1
777	3790	0.368426	0.944336	1
719	10894	0.368516	0.943848	1
631	3677	0.368606	0.943359	1
762	14356	0.368692	0.942871	1
986	4277	0.368746	0.942383	1
817	3894	0.368813	0.941895	1
701	4515	0.368896	0.941406	1
783	8732	0.368977	0.940918	1
696	10819	0.36907	0.94043	1
895	3736	0.369128	0.939941	1
474	4385	0.369258	0.939453	1
740	4356	0.369335	0.938965	1
840	3692	0.369399	0.938477	1
743	4573	0.369477	0.937988	1
634	3602	0.369566	0.9375	1
838	4005	0.369631	0.937012	1
773	3064	0.369698	0.936523	1
906	4216	0.369758	0.936035	1
832	3662	0.369822	0.935547	1
766	12702	0.369907	0.935059	1
755	4806	0.369984	0.93457	1
920	3068	0.370037	0.934082	1
921	4786	0.370097	0.933594	1
946	4473	0.370155	0.933105	1
1275	3766	0.370191	0.932617	1
927	14072	0.370261	0.932129	1
820	4159	0.370329	0.931641	1
890	3501	0.370387	0.931152	1
818	3518	0.370451	0.930664	1
1285	4162	0.370489	0.930176	1
799	4265	0.370559	0.929688	1
1134	3971	0.370603	0.929199	1
903	3983	0.370662	0.928711	1
1286	3920	0.370698	0.928223	1
926	3890	0.370755	0.927734	1
918	3696	0.370812	0.927246	1
981	10003	0.370875	0.926758	1
1325	3269	0.370906	0.92627	1
1321	3812	0.370941	0.925781	1
1261	4247	0.370979	0.925293	1
1213	3858	0.371019	0.924805	1
1095	4183	0.371065	0.924316	1
1430	4401	0.371098	0.923828	1
1241	4208	0.371137	0.92334	1
1406	2971	0.371163	0.922852	1
1039	3970	0.371213	0.922363	1
1561	4551	0.371242	0.921875	1
1435	3822	0.371272	0.921387	1
1807	3423	0.37129	0.920898	1
1083	3100	0.371332	0.92041	1
1483	3593	0.371359	0.919922	1
1112	4132	0.371405	0.919434	1
1502	10497	0.371444	0.918945	1
1396	4173	0.371478	0.918457	1
1543	4671	0.371508	0.917969	1
1252	4605	0.371548	0.91748	1
1374	3141	0.371576	0.916992	1
1091	4550	0.371625	0.916504	1
1832	4480	0.371647	0.916016	1
1730	2563	0.37166	0.915527	1
1774	4259	0.371683	0.915039	1
1830	3119	0.371699	0.914551	1
1513	3510	0.371725	0.914062	1
1985	2954	0.371736	0.913574	1
1784	4017	0.371758	0.913086	1
1767	4718	0.371783	0.912598	1
1459	3628	0.371811	0.912109	1
1750	3901	0.371833	0.911621	1
1963	3143	0.371846	0.911133	1
1722	3266	0.371865	0.910645	1
1631	3869	0.37189	0.910156	1
1875	3808	0.371909	0.909668	1
1654	3461	0.371931	0.90918	1
1642	3604	0.371954	0.908691	1
1956	3516	0.371969	0.908203	1
1993	3816	0.371986	0.907715	1
1785	3426	0.372005	0.907227	1
1696	3842	0.372028	0.906738	1
1918	4696	0.372049	0.90625	1
2047	2889	0.372059	0.905762	1
1411	4013	0.372091	0.905273	1
1834	3800	0.37211	0.904785	1
1998	3574	0.372126	0.904297	1
1606	3502	0.372149	0.903809	1
1746	3940	0.372171	0.90332	1
1933	2911	0.372183	0.902832	1
1701	3588	0.372205	0.902344	1
1704	3763	0.372227	0.901855	1
1769	3932	0.372249	0.901367	1
1863	4409	0.37227	0.900879	1
1920	3405	0.372286	0.900391	1
1852	3550	0.372304	0.899902	1
2003	3508	0.372319	0.899414	1
1904	4384	0.37234	0.898926	1
1932	3277	0.372354	0.898438	1
1843	4458	0.372377	0.897949	1
1783	2519	0.372388	0.897461	1
1947	3717	0.372405	0.896973	1
1707	4129	0.372429	0.896484	1
1647	3703	0.372452	0.895996	1
1925	4257	0.372472	0.895508	1
3891	4294967295	0.372472	0.895508	0.995349
1800	3712	0.372492	0.89502	0.99537
2029	3819	0.372508	0.894531	0.995392
1787	3846	0.372529	0.894043	0.995413
1703	4070	0.372552	0.893555	0.995434
4984	4358	0.37255	0.893555	0.995455
4083	3804	0.372549	0.893555	0.995475
2023	3414	0.372563	0.893066	0.995495
2395	3581	0.372573	0.893066	0.995516
2018	3786	0.372589	0.892578	0.995536
4496	3793	0.372586	0.892578	0.995556
1924	3532	0.372602	0.89209	0.995575
3879	3448	0.3726	0.89209	0.995595
5366	4783	0.372599	0.89209	0.995614
4136	3056	0.372593	0.89209	0.995633
4316	3784	0.37259	0.89209	0.995652
5001	4294967295	0.37259	0.89209	0.991342
4058	3319	0.372587	0.89209	0.991379
4707	3931	0.372584	0.89209	0.991416
1978	3176	0.372597	0.891602	0.991453
2037	4188	0.372614	0.891113	0.991489
4936	3783	0.37261	0.891113	0.991525
5037	3984	0.372606	0.891113	0.991561
3835	3218	0.372603	0.891113	0.991597
3767	3951	0.372604	0.891113	0.991632
4273	3738	0.372602	0.891113	0.991667
3925	3898	0.372601	0.891113	0.991701
5579	4294967295	0.372601	0.891113	0.987603
5468	2983	0.372591	0.891113	0.987654
4085	4094	0.372591	0.891113	0.987705
4834	3732	0.372587	0.891113	0.987755
4287	3836	0.372585	0.891113	0.987805
2526	4294967295	0.372585	0.891113	0.983806
4151	4149	0.372585	0.891113	0.983871
6571	3946	0.372578	0.891113	0.983936
6083	3152	0.372567	0.891113	0.984
3710	3618	0.372566	0.891113	0.984064
4236	3647	0.372564	0.891113	0.984127
4965	4294967295	0.372564	0.891113	0.980237
5353	3271	0.372555	0.891113	0.980315
5259	4294967295	0.372555	0.891113	0.976471
3985	4294967295	0.372555	0.891113	0.972656
3892	4846	0.372559	0.891113	0.972763
5436	4294967295	0.372559	0.891113	0.968992
5536	4214	0.372555	0.891113	0.969112
5503	4294967295	0.372555	0.891113	0.965385
5530	3955	0.37255	0.891113	0.965517
4812	4294967295	0.37255	0.891113	0.961832
4703	4294967295	0.37255	0.891113	0.958175
4433	4294967295	0.37255	0.891113	0.954545
4102	2687	0.372541	0.891113	0.954717
4066	4294967295	0.372541	0.891113	0.951128
5363	3811	0.372536	0.891113	0.951311
4692	4294967295	0.372536	0.891113	0.947761
7244	4294967295	0.372536	0.891113	0.944238
6073	4294967295	0.372536	0.891113	0.940741
6581	4294967295	0.372536	0.891113	0.937269
6425	4294967295	0.372536	0.891113	0.933824
7236	4294967295	0.372536	0.891113	0.930403
5243	4294967295	0.372536	0.891113	0.927007
3708	4180	0.372538	0.891113	0.927273
6072	4294967295	0.372538	0.891113	0.923913
4106	4294967295	0.372538	0.891113	0.920578
5686	4294967295	0.372538	0.891113	0.917266
5061	4294967295	0.372538	0.891113	0.913978
5412	4294967295	0.372538	0.891113	0.910714
4474	4294967295	0.372538	0.891113	0.907473
4364	4294967295	0.372538	0.891113	0.904255
5927	3631	0.37253	0.891113	0.904594
5677	4294967295	0.37253	0.891113	0.901408
5781	4294967295	0.37253	0.891113	0.898246
4086	4294967295	0.37253	0.891113	0.895105
4256	4294967295	0.37253	0.891113	0.891986
4608	4294967295	0.37253	0.891113	0.888889
4040	4294967295	0.37253	0.891113	0.885813
5094	4294967295	0.37253	0.891113	0.882759
5201	4294967295	0.37253	0.891113	0.879725
7857	4294967295	0.37253	0.891113	0.876712
4752	4294967295	0.37253	0.891113	0.87372
5394	4294967295	0.37253	0.891113	0.870748
4986	4294967295	0.37253	0.891113	0.867797
4653	4294967295	0.37253	0.891113	0.864865
3830	4294967295	0.37253	0.891113	0.861953
4198	4294967295	0.37253	0.891113	0.85906
5977	4294967295	0.37253	0.891113	0.856187
5611	4294967295	0.37253	0.891113	0.853333
6183	4294967295	0.37253	0.891113	0.850498
6168	4294967295	0.37253	0.891113	0.847682
6019	4294967295	0.37253	0.891113	0.844884
4727	4294967295	0.37253	0.891113	0.842105
7714	4294967295	0.37253	0.891113	0.839344
6026	4294967295	0.37253	0.891113	0.836601
5027	4294967295	0.37253	0.891113	0.833876
5637	4294967295	0.37253	0.891113	0.831169
5799	4294967295	0.37253	0.891113	0.828479
7827	4294967295	0.37253	0.891113	0.825806
5322	4294967295	0.37253	0.891113	0.823151
4289	4294967295	0.37253	0.891113	0.820513
6714	4294967295	0.37253	0.891113	0.817891
4883	4294967295	0.37253	0.891113	0.815287
5771	4294967295	0.37253	0.891113	0.812698
4365	4294967295	0.37253	0.891113	0.810127
4641	4294967295	0.37253	0.891113	0.807571
5978	4294967295	0.37253	0.891113	0.805031
4217	4294967295	0.37253	0.891113	0.802508
5681	4294967295	0.37253	0.891113	0.8
4252	4294967295	0.37253	0.891113	0.797508
5844	4294967295	0.37253	0.891113	0.795031
5470	4294967295	0.37253	0.891113	0.79257
7495	4294967295	0.37253	0.891113	0.790123
7538	4294967295	0.37253	0.891113	0.787692
6579	4294967295	0.37253	0.891113	0.785276
5422	4294967295	0.37253	0.891113	0.782875
4831	4294967295	0.37253	0.891113	0.780488
