hit_rate_ini:	0.244347	miss_ratio_ini:	0.171082
12526	75415	0.588847	0.163208	1
15728	278801	0.588851	0.163147	1
13475	17051	0.588852	0.163086	1
8651	12290	0.588855	0.163086	1
9000	20782	0.588859	0.163025	1
11447	75306	0.588864	0.162964	1
10370	9427	0.588864	0.162964	1
6280	22071	0.588872	0.162903	1
9468	36810	0.588877	0.162842	1
11141	83606	0.588883	0.162781	1
9421	10346	0.588883	0.162781	1
13079	17986	0.588885	0.16272	1
7225	66222	0.588894	0.162659	1
6523	535575	0.588904	0.162598	1
6484	112553	0.588915	0.162537	1
6820	68715	0.588924	0.162476	1
7590	15970	0.588929	0.162476	1
6874	101505	0.588939	0.162415	1
7430	115482	0.588947	0.162354	1
5205	14390	0.588956	0.162354	1
6545	73032	0.588966	0.162292	1
24870	96757	0.588968	0.162292	1
9300	13899	0.588971	0.162292	1
6554	616869	0.588981	0.162231	1
11202	72316	0.588987	0.16217	1
5631	16060	0.588995	0.16217	1
9052	273168	0.589002	0.162109	1
9705	13717	0.589004	0.162109	1
15165	96595	0.589008	0.162048	1
7806	23179	0.589014	0.161987	1
12134	31568	0.589018	0.161926	1
10381	48469	0.589023	0.161865	1
13904	89737	0.589028	0.161804	1
10158	634184	0.589035	0.161743	1
8787	70836	0.589042	0.161682	1
12772	70911	0.589046	0.161621	1
6432	38103	0.589055	0.16156	1
15855	24069	0.589057	0.161499	1
9270	30570	0.589062	0.161438	1
6460	21582	0.58907	0.161377	1
7371	7227	0.58907	0.161377	1
8844	27784	0.589075	0.161316	1
11570	18863	0.589078	0.161255	1
10266	25709	0.589082	0.161194	1
12070	31895	0.589085	0.161133	1
7954	34794	0.589092	0.161072	1
9432	454140	0.5891	0.161011	1
10641	41301	0.589105	0.16095	1
13101	27154	0.589107	0.160889	1
11042	76395	0.589113	0.160828	1
6640	74249	0.589123	0.160767	1
10149	12589	0.589124	0.160767	1
12724	19862	0.589126	0.160706	1
8312	6042	0.589123	0.160706	1
9349	72111	0.589129	0.160645	1
15340	9184	0.589126	0.160645	1
10825	88911	0.589132	0.160583	1
8555	120961	0.58914	0.160522	1
10976	26341	0.589143	0.160461	1
7528	68810	0.589152	0.1604	1
10495	906971	0.589159	0.160339	1
12190	888337	0.589164	0.160278	1
12235	6875	0.58916	0.160278	1
14377	6875	0.589154	0.160278	1
15817	6875	0.589149	0.160278	1
12548	6875	0.589144	0.160278	1
12322	6875	0.58914	0.160278	1
10026	6875	0.589136	0.160278	1
13951	6875	0.589131	0.160278	1
15026	6875	0.589126	0.160278	1
8311	6875	0.589124	0.160278	1
11579	6875	0.58912	0.160278	1
11005	6875	0.589116	0.160278	1
7074	6875	0.589115	0.160278	1
10890	271308	0.589122	0.160217	1
11203	652928	0.589128	0.160156	1
7940	113564	0.589136	0.160095	1
5609	567587	0.589149	0.160034	1
12718	596451	0.589154	0.159973	1
13640	48840	0.589158	0.159912	1
9643	128048	0.589165	0.159851	1
13526	545555	0.58917	0.15979	1
9144	547474	0.589178	0.159729	1
10610	541672	0.589184	0.159668	1
9212	95109	0.589191	0.159607	1
10840	91609	0.589197	0.159546	1
9873	603260	0.589204	0.159485	1
10687	109576	0.58921	0.159424	1
6407	60210	0.58922	0.159363	1
9847	127110	0.589227	0.159302	1
8834	81831	0.589234	0.159241	1
10604	67075	0.589239	0.15918	1
14144	41507	0.589243	0.159119	1
6904	26175	0.58925	0.159058	1
9446	117930	0.589257	0.158997	1
12230	551741	0.589263	0.158936	1
13626	120317	0.589268	0.158875	1
19676	282866	0.589271	0.158875	1
7834	23392	0.589277	0.158813	1
11953	114963	0.589282	0.158752	1
9161	16350	0.589286	0.158752	1
11254	612948	0.589292	0.158691	1
9842	15463	0.589294	0.158691	1
7467	277975	0.589304	0.15863	1
11531	567076	0.58931	0.158569	1
21292	615924	0.589313	0.158569	1
8590	23596	0.589318	0.158508	1
12861	629272	0.589324	0.158447	1
12986	122874	0.589329	0.158386	1
4750	11215	0.589337	0.158386	1
11409	32423	0.589341	0.158325	1
17829	17405	0.589341	0.158325	1
12519	19186	0.589343	0.158264	1
12940	29852	0.589346	0.158203	1
17796	15759	0.589346	0.158264	1
15421	15408	0.589346	0.158264	1
7771	26907	0.589352	0.158203	1
10711	67220	0.589358	0.158142	1
21868	8458	0.589352	0.158203	1
8940	18557	0.589357	0.158142	1
16096	131050	0.58936	0.158081	1
13595	13910	0.589361	0.158081	1
14110	8957	0.589358	0.158081	1
11419	51629	0.589363	0.15802	1
8980	84910	0.58937	0.157959	1
10351	9828	0.589369	0.157959	1
12637	82813	0.589374	0.157898	1
12006	14394	0.589375	0.157898	1
9751	69128	0.589381	0.157837	1
13459	21532	0.589383	0.157776	1
19256	24179	0.589384	0.157776	1
11662	5948	0.589378	0.157776	1
12075	81179	0.589383	0.157715	1
13947	29160	0.589386	0.157654	1
17108	74568	0.589389	0.157654	1
7993	9460	0.58939	0.157654	1
15398	29654	0.589393	0.157593	1
10878	68675	0.589398	0.157532	1
24816	15412	0.589396	0.157593	1
18060	17174	0.589396	0.157593	1
11091	69414	0.589402	0.157532	1
18022	69430	0.589405	0.157532	1
10633	38686	0.589409	0.157471	1
8640	16523	0.589413	0.15741	1
14887	9905	0.589411	0.15741	1
12323	15791	0.589412	0.15741	1
14845	37429	0.589415	0.157349	1
14341	23163	0.589417	0.157288	1
10623	32733	0.589421	0.157227	1
13205	14269	0.589422	0.157227	1
12829	18461	0.589424	0.157166	1
17176	550549	0.589428	0.157166	1
10748	89933	0.589433	0.157104	1
10226	18844	0.589437	0.157043	1
17045	39006	0.589439	0.157043	1
18649	89598	0.589442	0.157043	1
24090	68243	0.589444	0.157043	1
11541	16398	0.589446	0.156982	1
13003	110457	0.58945	0.156921	1
10986	15677	0.589452	0.156921	1
11790	17089	0.589454	0.15686	1
8445	18494	0.589459	0.156799	1
8528	110765	0.589466	0.156738	1
8998	90706	0.589474	0.156677	1
13990	71444	0.589478	0.156616	1
8485	9442	0.589479	0.156616	1
13397	68220	0.589483	0.156555	1
13399	14010	0.589483	0.156555	1
9652	7748	0.589481	0.156555	1
16950	12999	0.58948	0.156616	1
24972	19632	0.589479	0.156616	1
8053	11710	0.589482	0.156616	1
10983	10039	0.589481	0.156616	1
9008	22796	0.589486	0.156555	1
7471	20432	0.589492	0.156494	1
19587	72879	0.589495	0.156494	1
14568	16002	0.589495	0.156494	1
16557	107624	0.589499	0.156494	1
10024	68451	0.589505	0.156433	1
15889	5972	0.589497	0.156433	1
10740	67237	0.589503	0.156372	1
14059	13982	0.589503	0.156372	1
14954	96819	0.589507	0.156311	1
16455	70518	0.58951	0.156311	1
11047	9924	0.58951	0.156311	1
13314	544335	0.589515	0.15625	1
10447	89792	0.589521	0.156189	1
20487	38312	0.589522	0.156189	1
14060	14871	0.589523	0.156189	1
17507	108400	0.589526	0.156189	1
11594	6875	0.589522	0.156189	1
7409	6875	0.589521	0.156189	1
21513	6875	0.589514	0.15625	1
14447	6875	0.589509	0.15625	1
14575	6875	0.589504	0.15625	1
24446	6875	0.589496	0.156311	1
16389	6875	0.58949	0.156372	1
16090	6875	0.589484	0.156372	1
9272	6875	0.589482	0.156372	1
8249	6875	0.58948	0.156372	1
28703	6875	0.589472	0.156433	1
15021	6875	0.589467	0.156433	1
11326	15863	0.589468	0.156433	1
15845	410206	0.589473	0.156372	1
10873	45518	0.589478	0.156311	1
10394	614599	0.589484	0.15625	1
14267	126515	0.589489	0.156189	1
18050	574492	0.589493	0.156189	1
11138	651064	0.589499	0.156128	1
71232	73965	0.589499	0.156128	1
19523	20670	0.589499	0.156128	1
571806	91128	0.589499	0.156128	1
10252	33005	0.589503	0.156067	1
12480	108826	0.589508	0.156006	1
19563	179259	0.589512	0.156006	1
18548	160874	0.589515	0.156006	1
15107	97403	0.589519	0.155945	1
35658	77302	0.58952	0.155945	1
17863	5146	0.58951	0.156006	1
13985	7185	0.589506	0.156006	1
11230	22735	0.589509	0.155945	1
25384	10320	0.589505	0.156006	1
9939	7670	0.589503	0.156006	1
14451	78990	0.589507	0.155945	1
18609	9220	0.589503	0.156006	1
62471	24857	0.589501	0.156006	1
13106	11413	0.5895	0.156006	1
20310	15187	0.589499	0.156067	1
12827	5917	0.589493	0.156067	1
13190	14654	0.589493	0.156067	1
12124	8654	0.589491	0.156067	1
18255	6542	0.589484	0.156128	1
27297	6375	0.589475	0.156189	1
11916	10386	0.589475	0.156189	1
26841	10541	0.58947	0.15625	1
19871	8857	0.589466	0.156311	1
11469	10235	0.589465	0.156311	1
12236	9050	0.589463	0.156311	1
13691	17308	0.589464	0.15625	1
35716	7051	0.589456	0.156311	1
24207	6151	0.589448	0.156372	1
19988	6055	0.58944	0.156433	1
20805	8600	0.589435	0.156494	1
22637	7183	0.589428	0.156555	1
17062	18743	0.589429	0.156555	1
11204	14506	0.58943	0.156555	1
10457	5050	0.589423	0.156555	1
19238	9523	0.589419	0.156616	1
36897	16565	0.589417	0.156616	1
11873	6253	0.589411	0.156616	1
17275	4042	0.589398	0.156677	1
43644	12835	0.589394	0.156738	1
97606	10385	0.589388	0.156799	1
20241	11029	0.589385	0.15686	1
11667	17444	0.589387	0.156799	1
96245	13319	0.589382	0.15686	1
16939	94455	0.589386	0.15686	1
19217	12247	0.589384	0.156921	1
19450	8947	0.58938	0.156982	1
15698	7303	0.589374	0.156982	1
9318	21775	0.589379	0.156921	1
13453	19625	0.58938	0.15686	1
23535	11184	0.589377	0.156921	1
75093	10242	0.589371	0.156982	1
10292	11893	0.589372	0.156982	1
24461	86690	0.589374	0.156982	1
16841	12291	0.589373	0.157043	1
578542	5409	0.58936	0.157104	1
97876	16629	0.589356	0.157104	1
72558	21372	0.589354	0.157104	1
72371	13876	0.58935	0.157166	1
72361	13464	0.589345	0.157227	1
8217	12151	0.589348	0.157227	1
18424	23113	0.589349	0.157227	1
38663	10069	0.589344	0.157288	1
32091	36726	0.589344	0.157288	1
16213	24926	0.589345	0.157227	1
14671	13821	0.589345	0.157227	1
547234	5660	0.589333	0.157288	1
117934	20388	0.58933	0.157288	1
7995	72223	0.589338	0.157227	1
12864	58873	0.589342	0.157166	1
14757	13255	0.589341	0.157166	1
14535	94759	0.589346	0.157104	1
72868	25485	0.589344	0.157104	1
23704	26988	0.589344	0.157104	1
21030	24427	0.589345	0.157104	1
11175	21839	0.589348	0.157043	1
9274	12387	0.58935	0.157043	1
21824	77848	0.589352	0.157043	1
78300	13492	0.589348	0.157104	1
10883	18167	0.58935	0.157043	1
12250	79215	0.589355	0.156982	1
16842	14107	0.589354	0.157043	1
19724	23328	0.589355	0.157043	1
20010	19941	0.589355	0.157043	1
267689	9652	0.589348	0.157104	1
14118	10688	0.589346	0.157104	1
21057	15386	0.589345	0.157166	1
17330	13468	0.589344	0.157227	1
12622	123798	0.589349	0.157166	1
14173	81073	0.589353	0.157104	1
79621	40506	0.589352	0.157104	1
17412	11791	0.58935	0.157166	1
10480	15193	0.589352	0.157166	1
19503	26134	0.589353	0.157166	1
90	88737	0.590099	0.157104	1
116	8745	0.590673	0.157104	1
93	51460	0.591395	0.157043	1
87	8644	0.592159	0.157043	1
112	15895	0.592758	0.157043	1
89	11361	0.593506	0.157043	1
104	18359	0.594151	0.156982	1
120	88739	0.594713	0.156921	1
117	89734	0.59529	0.15686	1
177	71930	0.595673	0.156799	1
129	12131	0.596192	0.156799	1
172	16349	0.596583	0.156799	1
167	6875	0.59698	0.156799	1
243	6875	0.597251	0.156799	1
261	6875	0.597503	0.156799	1
290	6875	0.597729	0.156799	1
315	6875	0.597936	0.156799	1
387	6875	0.598104	0.156799	1
411	6875	0.598261	0.156799	1
344	6875	0.59845	0.156799	1
395	6875	0.598614	0.156799	1
349	6875	0.5988	0.156799	1
366	6875	0.598978	0.156799	1
367	6875	0.599155	0.156799	1
399	22028	0.599324	0.156738	1
374	114057	0.599507	0.156677	1
437	593079	0.599665	0.156616	1
481	43180	0.599806	0.156555	1
