hit_rate_ini:	0.0278729	miss_ratio_ini:	1
1622	34586	0.353112	0.988831	1
2322	39411	0.353141	0.98877	1
2008	39928	0.353174	0.988708	1
2849	47525	0.353197	0.988647	1
2719	41176	0.353221	0.988586	1
1952	51296	0.353256	0.988525	1
2499	40492	0.353282	0.988464	1
2104	61952	0.353314	0.988403	1
2100	36845	0.353345	0.988342	1
2891	36975	0.353368	0.988281	1
2673	56409	0.353393	0.98822	1
2956	51524	0.353415	0.988159	1
2483	41527	0.353442	0.988098	1
1876	43119	0.353477	0.988037	1
2571	61830	0.353504	0.987976	1
3392	34706	0.353522	0.987915	1
2268	52599	0.353552	0.987854	1
2671	39448	0.353576	0.987793	1
1707	34658	0.353615	0.987732	1
2205	36352	0.353645	0.987671	1
2019	43646	0.353678	0.98761	1
3779	47908	0.353695	0.987549	1
2839	36493	0.353718	0.987488	1
2968	38841	0.35374	0.987427	1
2880	39758	0.353762	0.987366	1
3169	36001	0.353783	0.987305	1
2377	38245	0.35381	0.987244	1
2655	45815	0.353835	0.987183	1
2489	36999	0.353861	0.987122	1
2023	40465	0.353894	0.987061	1
3376	39685	0.353913	0.987	1
3401	38711	0.353932	0.986938	1
2427	44825	0.35396	0.986877	1
2050	43410	0.353992	0.986816	1
2770	39389	0.354016	0.986755	1
2451	113742	0.354044	0.986694	1
2787	45264	0.354067	0.986633	1
2631	48273	0.354092	0.986572	1
2930	43319	0.354115	0.986511	1
2380	57967	0.354143	0.98645	1
2975	39285	0.354165	0.986389	1
2884	46636	0.354188	0.986328	1
2794	39096	0.354211	0.986267	1
4025	57214	0.354227	0.986206	1
3274	50994	0.354247	0.986145	1
2827	51647	0.354271	0.986084	1
3352	60713	0.354291	0.986023	1
4959	38279	0.354303	0.985962	1
2836	43517	0.354326	0.985901	1
2993	45413	0.354348	0.98584	1
2115	47290	0.35438	0.985779	1
2126	42331	0.354411	0.985718	1
3553	43927	0.354429	0.985657	1
3181	48657	0.35445	0.985596	1
3504	64230	0.354469	0.985535	1
2938	41464	0.354491	0.985474	1
4463	55349	0.354506	0.985413	1
3327	46328	0.354525	0.985352	1
2601	37135	0.35455	0.985291	1
3589	102597	0.354569	0.985229	1
3543	81505	0.354588	0.985168	1
3017	48683	0.35461	0.985107	1
3632	46297	0.354628	0.985046	1
3575	47854	0.354646	0.984985	1
3832	41814	0.354663	0.984924	1
3484	38962	0.354681	0.984863	1
2919	58353	0.354704	0.984802	1
5496	58353	0.354716	0.984741	1
2383	58353	0.354744	0.98468	1
3373	58353	0.354763	0.984619	1
5585	58353	0.354775	0.984558	1
3892	58353	0.354792	0.984497	1
2847	58353	0.354815	0.984436	1
3796	58353	0.354833	0.984375	1
3761	101469	0.354851	0.984314	1
4654	560971	0.354866	0.984253	1
3599	35182	0.354883	0.984192	1
4631	56325	0.354897	0.984131	1
3689	36439	0.354914	0.98407	1
3734	38714	0.354931	0.984009	1
5596	40033	0.354942	0.983948	1
5539	40577	0.354953	0.983887	1
5373	44322	0.354965	0.983826	1
3861	50728	0.354982	0.983765	1
4957	47057	0.354994	0.983704	1
4250	37076	0.355009	0.983643	1
3348	41713	0.355028	0.983582	1
3976	37827	0.355044	0.983521	1
3355	36050	0.355063	0.983459	1
4888	48467	0.355076	0.983398	1
4224	38904	0.355091	0.983337	1
5251	34179	0.355102	0.983276	1
4015	37908	0.355118	0.983215	1
5424	36425	0.355129	0.983154	1
5790	41430	0.355139	0.983093	1
4138	53120	0.355155	0.983032	1
4107	34006	0.35517	0.982971	1
4818	34309	0.355183	0.98291	1
4212	48796	0.355198	0.982849	1
7735	50120	0.355206	0.982788	1
7196	37660	0.355214	0.982727	1
4148	34661	0.355229	0.982666	1
7233	54869	0.355237	0.982605	1
7826	42709	0.355245	0.982544	1
4263	42958	0.35526	0.982483	1
4990	60217	0.355272	0.982422	1
7702	110294	0.355281	0.982361	1
3367	33574	0.3553	0.9823	1
4382	32794	0.355314	0.982239	1
4374	40189	0.355328	0.982178	1
6097	40257	0.355338	0.982117	1
3857	34245	0.355354	0.982056	1
4160	51607	0.35537	0.981995	1
6533	108100	0.35538	0.981934	1
5169	35579	0.355392	0.981873	1
4024	37527	0.355407	0.981812	1
3936	37976	0.355423	0.98175	1
5762	41461	0.355434	0.981689	1
2831	59871	0.355457	0.981628	1
4858	83279	0.355471	0.981567	1
7436	35473	0.355479	0.981506	1
6867	36589	0.355487	0.981445	1
7215	40766	0.355495	0.981384	1
6509	44656	0.355504	0.981323	1
4589	44260	0.355518	0.981262	1
9205	33094	0.355524	0.981201	1
5810	36246	0.355534	0.98114	1
4726	37151	0.355547	0.981079	1
4949	40713	0.355559	0.981018	1
8333	44353	0.355566	0.980957	1
5244	45609	0.355578	0.980896	1
3271	39264	0.355598	0.980835	1
3152	55254	0.355619	0.980774	1
6228	41472	0.355628	0.980713	1
5129	38076	0.35564	0.980652	1
