hit_rate_ini:	0.0474645	miss_ratio_ini:	1
0	3640	0.112415	0.999512	1
1	2677	0.145099	0.999023	1
2	4138	0.166978	0.998535	1
3	2395	0.183417	0.998047	1
4	66938	0.196621	0.997559	1
5	3659	0.207626	0.99707	1
6	2051	0.217055	0.996582	1
7	3855	0.225329	0.996094	1
8	18274	0.232704	0.995605	1
9	12569	0.239347	0.995117	1
12	21949	0.244471	0.994629	1
10	4031	0.250503	0.994141	1
11	3852	0.256035	0.993652	1
13	3802	0.260781	0.993164	1
14	3938	0.265214	0.992676	1
18	2900	0.268711	0.992188	1
15	2526	0.272858	0.991699	1
16	3682	0.27677	0.991211	1
21	34612	0.279814	0.990723	1
17	4503	0.283514	0.990234	1
19	22044	0.286858	0.989746	1
22	21744	0.289769	0.989258	1
20	20671	0.292955	0.98877	1
24	39654	0.295637	0.988281	1
27	3208	0.298014	0.987793	1
26	76268	0.3005	0.987305	1
29	72803	0.30274	0.986816	1
23	10977	0.305528	0.986328	1
25	7956	0.3081	0.98584	1
32	3642	0.31012	0.985352	1
28	21968	0.312433	0.984863	1
38	19880	0.314158	0.984375	1
30	35275	0.316325	0.983887	1
33	16218	0.3183	0.983398	1
36	74562	0.320119	0.98291	1
31	38047	0.322219	0.982422	1
48	18770	0.323594	0.981934	1
40	22619	0.325236	0.981445	1
35	48561	0.327105	0.980957	1
42	80238	0.328673	0.980469	1
39	68543	0.330357	0.97998	1
43	17978	0.331886	0.979492	1
34	52709	0.333808	0.979004	1
58	18299	0.334951	0.978516	1
52	3501	0.336207	0.978027	1
41	19087	0.337809	0.977539	1
62	3805	0.338865	0.977051	1
44	22322	0.340362	0.976562	1
45	13098	0.341824	0.976074	1
37	40103	0.343595	0.975586	1
55	26717	0.3448	0.975098	1
54	16934	0.346026	0.974609	1
53	98383	0.347277	0.974121	1
47	10631	0.348677	0.973633	1
46	10873	0.350107	0.973145	1
57	106179	0.351273	0.972656	1
56	69064	0.352459	0.972168	1
51	23877	0.353756	0.97168	1
49	23064	0.355104	0.971191	1
50	2763	0.356403	0.970703	1
70	4422	0.357342	0.970215	1
83	50289	0.358149	0.969727	1
78	6453	0.358997	0.969238	1
95	28021	0.359703	0.96875	1
153	45052	0.360145	0.968262	1
129	4315	0.360654	0.967773	1
174	74405	0.361044	0.967285	1
144	4610	0.361499	0.966797	1
274	16762	0.361745	0.966309	1
