hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
1702	116335	0.465936	0.279663	1
1699	535670	0.465977	0.279602	1
1568	11722	0.466015	0.279602	1
1988	88601	0.46605	0.279541	1
1651	67800	0.466091	0.27948	1
2000	30195	0.466124	0.279419	1
1779	70830	0.466162	0.279358	1
1368	39142	0.466211	0.279297	1
1993	92526	0.466246	0.279236	1
2009	8975	0.466273	0.279236	1
1962	545700	0.466308	0.279175	1
1565	14946	0.466348	0.279175	1
1789	13809	0.466382	0.279175	1
1331	93118	0.466434	0.279114	1
1677	107357	0.466475	0.279053	1
1906	21935	0.466508	0.278992	1
2016	16167	0.466538	0.278992	1
1749	77760	0.466577	0.278931	1
1889	54810	0.466613	0.27887	1
1961	70866	0.466648	0.278809	1
1704	20948	0.466686	0.278748	1
1876	27181	0.46672	0.278687	1
1901	31574	0.466755	0.278625	1
1670	42203	0.466795	0.278564	1
1920	68256	0.46683	0.278503	1
1865	127423	0.466867	0.278442	1
1824	57684	0.466904	0.278381	1
2028	72591	0.466938	0.27832	1
1843	117061	0.466975	0.278259	1
2019	11295	0.467004	0.278259	1
1647	547067	0.467046	0.278198	1
2014	547476	0.467081	0.278137	1
2002	327664	0.467116	0.278076	1
2042	44602	0.467148	0.278015	1
1981	917293	0.467183	0.277954	1
1800	67758	0.467221	0.277893	1
1968	116115	0.467256	0.277832	1
2017	93145	0.46729	0.277771	1
1780	23673	0.467327	0.27771	1
1799	58642	0.467364	0.277649	1
1703	40946	0.467403	0.277588	1
2001	35904	0.467436	0.277527	1
1964	11391	0.467466	0.277527	1
1925	89175	0.467501	0.277466	1
2018	20589	0.467533	0.277405	1
1861	19030	0.467567	0.277344	1
1931	80691	0.467602	0.277283	1
1991	94604	0.467636	0.277222	1
1660	14683	0.467674	0.277222	1
1978	14841	0.467704	0.277222	1
2037	18110	0.467735	0.277161	1
1977	41434	0.467768	0.2771	1
1895	28257	0.467803	0.277039	1
2039	22535	0.467834	0.276978	1
2010	20946	0.467865	0.276917	1
1695	15236	0.467902	0.276917	1
1979	53606	0.467936	0.276855	1
11508	47554	0.467941	0.276794	1
6741	11371	0.467945	0.276794	1
7790	41046	0.467952	0.276733	1
8878	22206	0.467957	0.276672	1
7167	60841	0.467966	0.276611	1
14484	23388	0.467968	0.27655	1
8748	23388	0.467973	0.276489	1
6286	23388	0.467981	0.276428	1
10974	23388	0.467984	0.276367	1
20847	23388	0.467985	0.276367	1
15258	23388	0.467986	0.276306	1
9465	23388	0.467991	0.276245	1
6911	23388	0.467998	0.276184	1
13270	23388	0.468	0.276123	1
6174	23388	0.468009	0.276062	1
14144	23388	0.468011	0.276001	1
12756	23388	0.468013	0.27594	1
10323	904019	0.46802	0.275879	1
7391	125789	0.468029	0.275818	1
8042	70702	0.468037	0.275757	1
12635	114951	0.468042	0.275696	1
8282	292971	0.46805	0.275635	1
9285	70548	0.468057	0.275574	1
11953	127261	0.468062	0.275513	1
12066	592032	0.468068	0.275452	1
15855	620331	0.468072	0.275391	1
19591	44732	0.468074	0.275391	1
10370	56593	0.46808	0.27533	1
15882	70749	0.468084	0.275269	1
8481	96766	0.468091	0.275208	1
7708	58003	0.468099	0.275146	1
24870	32106	0.4681	0.275146	1
9019	66267	0.468107	0.275085	1
17796	553472	0.46811	0.275085	1
10561	16407	0.468113	0.275024	1
9007	28936	0.468118	0.274963	1
8907	20520	0.468123	0.274902	1
13497	122610	0.468127	0.274841	1
15165	68672	0.468131	0.27478	1
10443	627833	0.468138	0.274719	1
12772	74107	0.468142	0.274658	1
22644	18461	0.468142	0.274658	1
16148	24892	0.468143	0.274597	1
11078	29341	0.468147	0.274536	1
7324	73051	0.468156	0.274475	1
12070	13465	0.468157	0.274475	1
9592	77531	0.468163	0.274414	1
9349	12032	0.468165	0.274414	1
12724	90171	0.46817	0.274353	1
9898	12345	0.468171	0.274353	1
15208	44143	0.468174	0.274292	1
15340	29374	0.468176	0.274231	1
19617	9427	0.468172	0.274292	1
16283	88542	0.468176	0.274231	1
10606	26351	0.46818	0.27417	1
9810	12091	0.468181	0.27417	1
14377	62036	0.468185	0.274109	1
12190	33014	0.468189	0.274048	1
13904	13874	0.468189	0.274048	1
10809	12664	0.46819	0.274048	1
14289	16447	0.46819	0.273987	1
9995	68047	0.468196	0.273926	1
8881	5119	0.468191	0.273926	1
12322	574315	0.468196	0.273865	1
18280	44688	0.468199	0.273865	1
11129	7610	0.468196	0.273865	1
13714	17087	0.468197	0.273804	1
13229	117338	0.468201	0.273743	1
12861	16247	0.468203	0.273743	1
13640	20174	0.468204	0.273682	1
10840	42877	0.468209	0.273621	1
15725	614508	0.468214	0.27356	1
9847	26108	0.468218	0.273499	1
11433	24374	0.468221	0.273438	1
7938	77931	0.468229	0.273376	1
8173	481786	0.468238	0.273315	1
13978	26494	0.46824	0.273254	1
7487	17833	0.468246	0.273193	1
9812	93103	0.468252	0.273132	1
11074	128472	0.468258	0.273071	1
11670	38262	0.468262	0.27301	1
11870	26375	0.468266	0.272949	1
8978	21674	0.46827	0.272888	1
15772	90275	0.468274	0.272827	1
19676	40871	0.468276	0.272827	1
15517	545562	0.46828	0.272766	1
11570	70187	0.468285	0.272705	1
14478	24715	0.468287	0.272644	1
17055	59454	0.46829	0.272644	1
11254	19510	0.468293	0.272583	1
21292	48877	0.468295	0.272583	1
10034	90775	0.468301	0.272522	1
21401	15556	0.4683	0.272583	1
13208	27956	0.468303	0.272522	1
10311	90161	0.468309	0.272461	1
8628	115177	0.468317	0.2724	1
10995	31413	0.468321	0.272339	1
11531	15566	0.468322	0.272339	1
11202	49085	0.468327	0.272278	1
11197	843061	0.468334	0.272217	1
20270	94327	0.468336	0.272217	1
20479	21515	0.468336	0.272217	1
17829	290066	0.46834	0.272217	1
25501	654682	0.468343	0.272217	1
7145	48072	0.468351	0.272156	1
8190	23841	0.468357	0.272095	1
9264	18181	0.468361	0.272034	1
18351	26717	0.468362	0.272034	1
12220	300023	0.468368	0.271973	1
15210	17892	0.468368	0.271912	1
22753	527463	0.468371	0.271912	1
9589	26882	0.468376	0.271851	1
10064	105340	0.468382	0.27179	1
10711	23386	0.468386	0.271729	1
12974	17915	0.468388	0.271667	1
10616	23127	0.468391	0.271606	1
13200	9635	0.468389	0.271606	1
10585	96649	0.468395	0.271545	1
15359	67618	0.468399	0.271484	1
15569	13576	0.468398	0.271484	1
11949	19323	0.4684	0.271423	1
12986	38047	0.468404	0.271362	1
13029	77881	0.468408	0.271301	1
24351	125334	0.468411	0.271301	1
21868	17335	0.46841	0.271301	1
9530	37070	0.468415	0.27124	1
19788	14440	0.468414	0.271301	1
16096	115293	0.468418	0.27124	1
14064	14143	0.468418	0.27124	1
13595	38996	0.468421	0.271179	1
10674	48226	0.468427	0.271118	1
11654	10346	0.468426	0.271118	1
11419	22895	0.468429	0.271057	1
22816	23388	0.468429	0.271057	1
13009	23388	0.468431	0.270996	1
16136	23388	0.468433	0.270935	1
26415	23388	0.468432	0.270935	1
12323	23388	0.468435	0.270874	1
10004	23388	0.468439	0.270813	1
7863	23388	0.468445	0.270752	1
25863	23388	0.468445	0.270752	1
21089	23388	0.468445	0.270752	1
10994	23388	0.468449	0.270691	1
18022	23388	0.46845	0.270691	1
35834	23388	0.468448	0.270691	1
16857	316991	0.468452	0.270691	1
9458	578544	0.46846	0.27063	1
11446	109840	0.468465	0.270569	1
10153	627892	0.468472	0.270508	1
72520	543267	0.468473	0.270508	1
20777	65282	0.468476	0.270508	1
12022	61761	0.46848	0.270447	1
14135	116760	0.468485	0.270386	1
15548	560007	0.468489	0.270325	1
17761	67602	0.468492	0.270325	1
13639	40686	0.468496	0.270264	1
14627	346352	0.4685	0.270203	1
17108	87900	0.468504	0.270203	1
13839	598611	0.468509	0.270142	1
9829	596173	0.468516	0.270081	1
16403	274679	0.46852	0.270081	1
18124	37984	0.468522	0.270081	1
10209	20596	0.468525	0.27002	1
13680	17611	0.468527	0.269958	1
11043	23118	0.46853	0.269897	1
10096	130300	0.468536	0.269836	1
12029	16764	0.468538	0.269775	1
12062	95657	0.468543	0.269714	1
10703	89154	0.468549	0.269653	1
10076	16026	0.468552	0.269653	1
11805	566087	0.468558	0.269592	1
13434	12387	0.468557	0.269592	1
18999	44021	0.468559	0.269592	1
12394	22876	0.468562	0.269531	1
15089	19487	0.468563	0.26947	1
10355	10268	0.468563	0.26947	1
11337	73725	0.468568	0.269409	1
9025	25412	0.468573	0.269348	1
11608	69729	0.468578	0.269287	1
14104	46789	0.468582	0.269226	1
13094	14577	0.468582	0.269226	1
15444	37895	0.468585	0.269165	1
15066	48095	0.468588	0.269104	1
10596	11715	0.468589	0.269104	1
16413	115652	0.468593	0.269104	1
17604	112680	0.468596	0.269104	1
27293	11126	0.468592	0.269165	1
12587	16596	0.468594	0.269104	1
15838	15645	0.468594	0.269104	1
15451	26918	0.468596	0.269043	1
13773	7503	0.468591	0.269043	1
11836	38388	0.468596	0.268982	1
10776	17694	0.468598	0.268921	1
8966	9109	0.468598	0.268921	1
13811	4716	0.468588	0.268921	1
14833	108906	0.468593	0.26886	1
19091	67938	0.468595	0.26886	1
16647	4126	0.468583	0.268921	1
17844	31730	0.468584	0.268921	1
17329	155714	0.468588	0.268921	1
10389	23453	0.468592	0.26886	1
9014	77526	0.468599	0.268799	1
16278	76422	0.468602	0.268738	1
19651	16075	0.468601	0.268799	1
17891	13631	0.4686	0.26886	1
10516	40815	0.468605	0.268799	1
16662	19230	0.468606	0.268799	1
19885	56778	0.468608	0.268799	1
15924	30534	0.46861	0.268738	1
21142	24401	0.468611	0.268738	1
11915	26396	0.468614	0.268677	1
13054	22676	0.468616	0.268616	1
15270	88226	0.46862	0.268555	1
24116	25053	0.46862	0.268555	1
25008	17565	0.468619	0.268555	1
15279	8275	0.468615	0.268555	1
11919	73545	0.46862	0.268494	1
12565	27620	0.468623	0.268433	1
19120	78658	0.468626	0.268433	1
14703	26399	0.468628	0.268372	1
12108	21466	0.468631	0.268311	1
12396	68383	0.468635	0.26825	1
16455	70140	0.468639	0.26825	1
25896	613586	0.468641	0.26825	1
21379	41613	0.468643	0.26825	1
15073	15371	0.468643	0.26825	1
11472	52054	0.468648	0.268188	1
18535	29268	0.468649	0.268188	1
38494	14604	0.468646	0.26825	1
21576	34936	0.468647	0.26825	1
16577	39769	0.46865	0.26825	1
13581	61667	0.468654	0.268188	1
11256	30957	0.468658	0.268127	1
34084	46814	0.468659	0.268127	1
16266	91399	0.468662	0.268066	1
11585	121719	0.468668	0.268005	1
16875	20013	0.468668	0.268005	1
21075	9871	0.468665	0.268066	1
71681	17843	0.468662	0.268066	1
20584	546137	0.468665	0.268066	1
9971	19803	0.468668	0.268005	1
38898	22374	0.468667	0.268005	1
16325	171969	0.468671	0.267944	1
66736	21729	0.468669	0.267944	1
10276	12890	0.46867	0.267944	1
25384	23894	0.46867	0.267944	1
543384	65707	0.468669	0.267944	1
21399	8745	0.468664	0.268005	1
14815	19526	0.468666	0.267944	1
98225	9949	0.468659	0.268005	1
37411	72753	0.46866	0.268005	1
31347	14065	0.468657	0.268066	1
9364	14803	0.46866	0.268066	1
588704	3415	0.468639	0.268127	1
15550	13857	0.468639	0.268127	1
14079	11872	0.468638	0.268127	1
26984	6935	0.46863	0.268188	1
12361	13761	0.468631	0.268188	1
35658	3878	0.468615	0.26825	1
22767	11124	0.468612	0.268311	1
18978	7002	0.468605	0.268372	1
18223	23388	0.468606	0.268372	1
51969	13009	0.468602	0.268433	1
19068	23388	0.468603	0.268433	1
13242	23388	0.468605	0.268372	1
35228	23388	0.468604	0.268372	1
23351	23388	0.468604	0.268372	1
19548	23388	0.468605	0.268372	1
35996	23388	0.468604	0.268372	1
16644	23388	0.468605	0.268372	1
23773	23388	0.468605	0.268372	1
17241	23388	0.468606	0.268372	1
12284	23388	0.468609	0.268311	1
71698	649885	0.468609	0.268311	1
22305	50249	0.468611	0.268311	1
12517	15865	0.468612	0.268311	1
13943	45052	0.468616	0.26825	1
561280	116348	0.468615	0.26825	1
12848	30294	0.468619	0.268188	1
102520	30517	0.468617	0.268188	1
14531	18127	0.468618	0.268127	1
25481	53714	0.468619	0.268127	1
13883	18970	0.468621	0.268066	1
