hit_rate_ini:	0.0721416	miss_ratio_ini:	0.513489
0	69703	0.13711	0.513428	1
1	116536	0.16982	0.513367	1
2	38260	0.191714	0.513306	1
3	20756	0.20818	0.513245	1
4	9911	0.221377	0.513245	1
5	27430	0.232398	0.513184	1
6	25491	0.241859	0.513123	1
8	31350	0.249236	0.513062	1
7	29691	0.257526	0.513	1
9	21057	0.264171	0.512939	1
10	26834	0.270217	0.512878	1
13	29705	0.27498	0.512817	1
12	17580	0.280103	0.512756	1
11	28377	0.285651	0.512695	1
14	27432	0.290099	0.512634	1
18	49057	0.293619	0.512573	1
16	42429	0.297549	0.512512	1
15	29549	0.301721	0.512451	1
21	72518	0.304766	0.51239	1
17	57044	0.30848	0.512329	1
24	26121	0.311161	0.512268	1
26	20601	0.313644	0.512207	1
19	22979	0.316988	0.512146	1
29	17876	0.319225	0.512085	1
20	20881	0.322411	0.512024	1
22	35535	0.325324	0.511963	1
23	18687	0.328114	0.511902	1
25	18969	0.330692	0.511841	1
27	17912	0.333087	0.51178	1
28	69778	0.335403	0.511719	1
38	13651	0.337126	0.511719	1
32	20349	0.339161	0.511658	1
30	19529	0.341327	0.511597	1
36	18118	0.343143	0.511536	1
33	20925	0.345119	0.511475	1
31	17025	0.347217	0.511414	1
43	13517	0.348745	0.511414	1
48	17781	0.350119	0.511353	1
45	14446	0.351582	0.511353	1
56	19434	0.352765	0.511292	1
44	19562	0.354261	0.51123	1
35	12202	0.356126	0.51123	1
37	32607	0.357897	0.511169	1
47	20144	0.3593	0.511108	1
42	22098	0.360866	0.511047	1
51	16356	0.362161	0.511047	1
34	78229	0.364084	0.510986	1
41	15910	0.365685	0.510986	1
40	13162	0.367324	0.510986	1
49	18904	0.368672	0.510925	1
46	14111	0.370103	0.510925	1
52	14010	0.371374	0.510925	1
39	10268	0.373052	0.510925	1
53	14026	0.374299	0.510925	1
50	19803	0.37562	0.510864	1
58	78947	0.376766	0.510803	1
78	26005	0.377623	0.510742	1
85	21623	0.378409	0.510681	1
76	37339	0.379289	0.51062	1
93	15684	0.380007	0.51062	1
163	15972	0.38042	0.51062	1
122	25175	0.380971	0.510559	1
182	73429	0.381344	0.510498	1
174	20506	0.381732	0.510437	1
208	20301	0.382056	0.510376	1
184	25262	0.382423	0.510315	1
263	77677	0.382682	0.510254	1
260	19549	0.382942	0.510193	1
244	19124	0.383218	0.510132	1
252	24092	0.383487	0.510071	1
319	30695	0.383699	0.51001	1
286	46308	0.383937	0.509949	1
336	19862	0.384138	0.509888	1
339	31531	0.384338	0.509827	1
462	649990	0.384488	0.509766	1
416	15884	0.384648	0.509766	1
283	10346	0.384884	0.509766	1
522	79434	0.385015	0.509705	1
519	584847	0.385148	0.509644	1
401	127508	0.385319	0.509583	1
413	43220	0.385484	0.509521	1
565	37857	0.385604	0.50946	1
606	295771	0.385718	0.509399	1
542	68393	0.385845	0.509338	1
547	108957	0.38597	0.509277	1
586	44507	0.386086	0.509216	1
551	20520	0.386208	0.509155	1
629	392481	0.386318	0.509094	1
777	81773	0.386407	0.509033	1
712	17051	0.3865	0.508972	1
776	82986	0.386588	0.508911	1
762	24308	0.386676	0.50885	1
575	17188	0.386792	0.508789	1
790	25017	0.386877	0.508728	1
726	951578	0.386973	0.508667	1
721	27556	0.387066	0.508606	1
688	49912	0.387165	0.508545	1
783	54230	0.387252	0.508484	1
872	29946	0.38733	0.508423	1
583	77060	0.387447	0.508362	1
615	40520	0.387558	0.508301	1
824	11818	0.387636	0.508301	1
601	73762	0.38775	0.50824	1
899	26189	0.387825	0.508179	1
689	16001	0.387921	0.508179	1
722	39815	0.388015	0.508118	1
590	17530	0.388128	0.508057	1
