second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
56	44999380.00	44999380.00	0.00	0.00	44999256.00	44999268.00	0.00	0.00	0.00	0.00
57	45000400.00	45000400.00	0.00	0.00	45000160.00	45000156.00	0.00	0.00	0.00	0.00
58	44998944.00	44998944.00	0.00	0.00	44999144.00	44999120.00	0.00	0.00	0.00	0.00
59	44999904.00	44999904.00	0.00	0.00	44999960.00	44999912.00	0.00	0.00	0.00	0.00
60	45000400.00	45000400.00	0.00	0.00	45000224.00	45000208.00	0.00	0.00	0.00	0.00
61	44999824.00	44999824.00	0.00	0.00	44999656.00	44999656.00	0.00	0.00	0.00	0.00
62	44999876.00	44999876.00	0.00	0.00	45000088.00	45000080.00	0.00	0.00	0.00	0.00
63	44999848.00	44999848.00	0.00	0.00	45000124.00	45000072.00	0.00	0.00	0.00	0.00
64	45000244.00	45000240.00	0.00	0.00	44999904.00	44999912.00	0.00	0.00	0.00	0.00
65	44999800.00	44999800.00	0.00	0.00	44999492.00	44999512.00	0.00	0.00	0.00	0.00
66	44999356.00	44999356.00	0.00	0.00	44999632.00	44999624.00	0.00	0.00	0.00	0.00
67	44975368.00	44975368.00	0.00	0.00	44975316.00	44975268.00	0.00	0.00	0.00	0.00
68	45000076.00	45000076.00	0.00	0.00	44999936.00	44999924.00	0.00	0.00	0.00	0.00
69	44999864.00	44999864.00	0.00	0.00	44999968.00	44999960.00	0.00	0.00	0.00	0.00
70	44999836.00	44999836.00	0.00	0.00	45000048.00	45000056.00	0.00	0.00	0.00	0.00
71	44799976.00	44799976.00	0.00	0.00	44711048.00	44711024.00	0.00	0.00	0.00	0.00
72	44519724.00	44519724.00	0.00	0.00	44298784.00	44298764.00	0.00	0.00	0.00	0.00
73	44242096.00	44242100.00	0.00	0.00	43919968.00	43919956.00	0.00	0.00	0.00	0.00
74	43427264.00	43427256.00	0.00	0.00	42770664.00	42770632.00	0.00	0.00	0.00	0.00
75	42390944.00	42390944.00	0.00	0.00	41282300.00	41282300.00	0.00	0.00	0.00	0.00
76	43682360.00	43682360.00	0.00	0.00	43125336.00	43125336.00	0.00	0.00	0.00	0.00
77	44999912.00	44999912.00	0.00	0.00	45000184.00	45000124.00	0.00	0.00	0.00	0.00
78	44999840.00	44999840.00	0.00	0.00	44999940.00	44999960.00	0.00	0.00	0.00	0.00
79	45000144.00	45000144.00	0.00	0.00	44999836.00	44999812.00	0.00	0.00	0.00	0.00
80	45000248.00	45000248.00	0.00	0.00	44999976.00	44999996.00	0.00	0.00	0.00	0.00
81	44999972.00	44999972.00	0.00	0.00	44995296.00	44995232.00	0.00	0.00	0.00	0.00
82	44999592.00	44999592.00	0.00	0.00	45000092.00	45000112.00	0.00	0.00	0.00	0.00
83	45000344.00	45000344.00	0.00	0.00	45000024.00	45000032.00	0.00	0.00	0.00	0.00
84	44999868.00	44999868.00	0.00	0.00	44999920.00	44999856.00	0.00	0.00	0.00	0.00
85	45000108.00	45000108.00	0.00	0.00	45000088.00	45000088.00	0.00	0.00	0.00	0.00
86	44999716.00	44999720.00	0.00	0.00	44999888.00	44999888.00	0.00	0.00	0.00	0.00
87	45000272.00	45000272.00	0.00	0.00	45000056.00	45000040.00	0.00	0.00	0.00	0.00
88	44998952.00	44998956.00	0.00	0.00	44999096.00	44999104.00	0.00	0.00	0.00	0.00
89	44999972.00	44999976.00	0.00	0.00	44997956.00	44997944.00	0.00	0.00	0.00	0.00
90	44999980.00	44999976.00	0.00	0.00	45000048.00	44999956.00	0.00	0.00	0.00	0.00
91	44999904.00	44999904.00	0.00	0.00	44999888.00	44999948.00	0.00	0.00	0.00	0.00
92	45000576.00	45000576.00	0.00	0.00	45000220.00	45000216.00	0.00	0.00	0.00	0.00
93	44999576.00	44999576.00	0.00	0.00	44999840.00	44999832.00	0.00	0.00	0.00	0.00
94	45000028.00	45000028.00	0.00	0.00	44999872.00	44999832.00	0.00	0.00	0.00	0.00
95	44802384.00	44802384.00	0.00	0.00	44713472.00	44713424.00	0.00	0.00	0.00	0.00
96	44749984.00	44749984.00	0.00	0.00	44634528.00	44634572.00	0.00	0.00	0.00	0.00
97	44512436.00	44512436.00	0.00	0.00	28184108.00	28183260.00	0.00	0.00	0.00	0.00
98	42893728.00	42893728.00	0.00	0.00	37417072.00	37416884.00	0.00	0.00	0.00	0.00
99	41207012.00	41207012.00	0.00	0.00	38465176.00	38465136.00	0.00	0.00	0.00	0.00
100	43049104.00	43049104.00	0.00	0.00	39958856.00	39958816.00	0.00	0.00	0.00	0.00
101	44999888.00	44999888.00	0.00	0.00	41356064.00	41356016.00	0.00	0.00	0.00	0.00
102	45000280.00	45000280.00	0.00	0.00	41490688.00	41490712.00	0.00	0.00	0.00	0.00
103	44998776.00	44998776.00	0.00	0.00	41574672.00	41574616.00	0.00	0.00	0.00	0.00
104	45000004.00	45000004.00	0.00	0.00	41632784.00	41632788.00	0.00	0.00	0.00	0.00
105	45000064.00	45000064.00	0.00	0.00	41855228.00	41855204.00	0.00	0.00	0.00	0.00
106	44993468.00	44993468.00	0.00	0.00	42073064.00	42073068.00	0.00	0.00	0.00	0.00
107	45000064.00	45000064.00	0.00	0.00	42175320.00	42175308.00	0.00	0.00	0.00	0.00
108	45000216.00	45000216.00	0.00	0.00	42253016.00	42252996.00	0.00	0.00	0.00	0.00
109	44999616.00	44999620.00	0.00	0.00	42349776.00	42349764.00	0.00	0.00	0.00	0.00
110	45000036.00	45000036.00	0.00	0.00	42429604.00	42429604.00	0.00	0.00	0.00	0.00
111	45000088.00	45000096.00	0.00	0.00	42490016.00	42489992.00	0.00	0.00	0.00	0.00
112	44999888.00	44999888.00	0.00	0.00	42551284.00	42551252.00	0.00	0.00	0.00	0.00
113	45000152.00	45000152.00	0.00	0.00	42599184.00	42599200.00	0.00	0.00	0.00	0.00
114	44999824.00	44999824.00	0.00	0.00	42834940.00	42834888.00	0.00	0.00	0.00	0.00
115	45000092.00	45000092.00	0.00	0.00	43016472.00	43016476.00	0.00	0.00	0.00	0.00
116	44999980.00	44999980.00	0.00	0.00	43085328.00	43085292.00	0.00	0.00	0.00	0.00
117	44999896.00	44999896.00	0.00	0.00	43160272.00	43160280.00	0.00	0.00	0.00	0.00
118	44998992.00	44998992.00	0.00	0.00	43221480.00	43221472.00	0.00	0.00	0.00	0.00
