hit_rate_ini:	0.0441542	miss_ratio_ini:	1
117	57419	0.426295	0.994293	1
166	64445	0.426703	0.994263	1
225	63686	0.427006	0.994232	1
203	91186	0.427341	0.994202	1
307	56294	0.427563	0.994171	1
262	57100	0.427823	0.994141	1
127	120566	0.428355	0.99411	1
242	113490	0.428637	0.99408	1
243	62775	0.428917	0.994049	1
361	108470	0.429107	0.994019	1
201	284715	0.429445	0.993988	1
113	44595	0.430041	0.993958	1
205	77342	0.430373	0.993927	1
252	112027	0.430644	0.993896	1
162	74543	0.431062	0.993866	1
211	184969	0.431385	0.993835	1
238	65177	0.431671	0.993805	1
377	50933	0.431852	0.993774	1
360	99211	0.432042	0.993744	1
274	58918	0.432291	0.993713	1
297	86081	0.432521	0.993683	1
163	61633	0.432937	0.993652	1
235	44232	0.433226	0.993622	1
192	133485	0.43358	0.993591	1
217	59854	0.433893	0.993561	1
178	80706	0.434275	0.99353	1
206	44542	0.434604	0.9935	1
143	54047	0.435077	0.993469	1
237	110607	0.435365	0.993439	1
448	76493	0.435518	0.993408	1
198	48414	0.43586	0.993378	1
228	60245	0.436159	0.993347	1
161	51217	0.436579	0.993317	1
187	49286	0.436942	0.993286	1
164	119940	0.437356	0.993256	1
147	147286	0.437817	0.993225	1
197	415186	0.438162	0.993195	1
267	68061	0.438418	0.993164	1
337	71020	0.43862	0.993134	1
410	46219	0.438787	0.993103	1
157	55557	0.439218	0.993073	1
272	306063	0.439469	0.993042	1
138	48995	0.439959	0.993011	1
97	46185	0.440652	0.992981	1
189	70350	0.441011	0.99295	1
534	53523	0.441139	0.99292	1
245	205427	0.441417	0.992889	1
271	90767	0.441669	0.992859	1
165	60057	0.44208	0.992828	1
190	99597	0.442438	0.992798	1
329	298648	0.442646	0.992767	1
353	49178	0.442839	0.992737	1
261	106443	0.443101	0.992706	1
170	71046	0.4435	0.992676	1
241	65753	0.443782	0.992645	1
313	55201	0.444	0.992615	1
133	74842	0.444508	0.992584	1
183	142365	0.44488	0.992554	1
184	112726	0.445249	0.992523	1
234	67498	0.44554	0.992493	1
354	59953	0.445733	0.992462	1
221	48572	0.44604	0.992432	1
455	58936	0.446191	0.992401	1
388	82353	0.446367	0.992371	1
365	66894	0.446554	0.99234	1
296	90730	0.446785	0.99231	1
