second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	4343701.00	2974794.00	2212.00	1366427.00	0.00	270.00	4339529.00	1366432.00	0.00	1366292.00	1606787.00	0.00	5.00	0.00	2816523.00	841259.00	0.00	841215.00	1134047.00	1.00	0.00	0.00	1522993.00	525173.00	0.00	525076.00	472740.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	1464.00	2974796.00	
3	4356276.00	3020637.00	1368.00	1334264.00	0.00	7.00	4353734.00	1334368.00	0.00	1334310.00	1685048.00	0.00	4.00	0.00	2833280.00	829006.00	0.00	828937.00	1175333.00	4.00	0.00	0.00	1520453.00	505363.00	0.00	505375.00	509715.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1346.00	3020642.00	
4	4319639.00	3008161.00	1950.00	1309360.00	0.00	169.00	4317088.00	1309728.00	0.00	1309659.00	1697691.00	0.00	7.00	0.00	2814840.00	816284.00	0.00	816267.00	1182290.00	0.00	0.00	0.00	1502245.00	493444.00	0.00	493392.00	515403.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	1470.00	3008160.00	
5	4307341.00	3003645.00	1565.00	1302114.00	0.00	18.00	4301635.00	1301384.00	0.00	1301375.00	1698813.00	0.00	6.00	0.00	2806754.00	811097.00	0.00	811067.00	1184585.00	5.00	0.00	0.00	1494826.00	490288.00	0.00	490308.00	514229.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1511.00	3003656.00	
6	4323401.00	3013036.00	1749.00	1308549.00	0.00	67.00	4321533.00	1308780.00	0.00	1308980.00	1703736.00	0.00	0.00	0.00	2819627.00	816560.00	0.00	816681.00	1186387.00	0.00	0.00	0.00	1501872.00	492222.00	0.00	492300.00	517350.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1571.00	3013035.00	
7	4326406.00	2990087.00	1497.00	1334796.00	0.00	26.00	4322201.00	1334680.00	0.00	1334366.00	1653128.00	0.00	4.00	0.00	2821721.00	830591.00	0.00	830410.00	1160716.00	4.00	0.00	0.00	1500459.00	504090.00	0.00	503957.00	492412.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1360.00	2990093.00	
8	4328120.00	2950485.00	1620.00	1375983.00	0.00	32.00	4326264.00	1375925.00	0.00	1376217.00	1574062.00	0.00	5.00	0.00	2803858.00	844961.00	0.00	845177.00	1113720.00	1.00	0.00	0.00	1522355.00	530966.00	0.00	531042.00	460343.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	1522.00	2950494.00	
9	4356668.00	2970544.00	1370.00	1384744.00	0.00	11.00	4354475.00	1385070.00	0.00	1384907.00	1584360.00	0.00	124.00	0.00	2829280.00	854777.00	0.00	854739.00	1119764.00	0.00	0.00	0.00	1525181.00	530293.00	0.00	530168.00	464596.00	0.00	0.00	0.00	124.00	0.00	0.00	0.00	0.00	1318.00	2970550.00	
10	4337971.00	2961292.00	1375.00	1375261.00	0.00	43.00	4333915.00	1374919.00	0.00	1374940.00	1583992.00	0.00	12.00	0.00	2811634.00	847325.00	0.00	847310.00	1116992.00	7.00	0.00	0.00	1522230.00	527595.00	0.00	527630.00	467000.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	1315.00	2961295.00	
11	4340709.00	2960652.00	1582.00	1378466.00	0.00	9.00	4337588.00	1378584.00	0.00	1378371.00	1580575.00	0.00	1.00	0.00	2816742.00	848867.00	0.00	848804.00	1119071.00	0.00	0.00	0.00	1520791.00	529717.00	0.00	529569.00	461504.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1503.00	2960653.00	
