second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	4443714.00	2559568.00	1153.00	1882863.00	0.00	130.00	4441340.00	1882455.00	0.00	1882486.00	676340.00	0.00	0.00	0.00	2733635.00	1028647.00	0.00	1028705.00	676284.00	0.00	0.00	0.00	1707648.00	853810.00	0.00	853782.00	56.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	114.00	2559563.00	
3	4440696.00	2557494.00	1215.00	1881885.00	0.00	102.00	4440216.00	1882348.00	0.00	1882282.00	675648.00	0.00	1.00	0.00	2731229.00	1027844.00	0.00	1027790.00	675595.00	1.00	0.00	0.00	1709053.00	854505.00	0.00	854494.00	54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	128.00	2557498.00	
4	4435590.00	2554610.00	1304.00	1879541.00	0.00	135.00	4434042.00	1879550.00	0.00	1879469.00	674975.00	0.00	1.00	0.00	2729352.00	1027244.00	0.00	1027200.00	674908.00	0.00	0.00	0.00	1704648.00	852307.00	0.00	852272.00	68.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	133.00	2554621.00	
5	4433729.00	2553531.00	969.00	1879166.00	0.00	63.00	4432039.00	1878875.00	0.00	1878958.00	674159.00	0.00	1.00	0.00	2725563.00	1025710.00	0.00	1025770.00	674083.00	1.00	0.00	0.00	1706433.00	853167.00	0.00	853191.00	76.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	102.00	2553522.00	
6	4432827.00	2553650.00	1020.00	1878113.00	0.00	45.00	4431301.00	1877895.00	0.00	1877939.00	675425.00	0.00	6.00	0.00	2727384.00	1026009.00	0.00	1026010.00	675361.00	6.00	0.00	0.00	1703888.00	851889.00	0.00	851934.00	65.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	2553659.00	
7	4427639.00	2550607.00	1116.00	1875808.00	0.00	109.00	4426568.00	1876040.00	0.00	1875949.00	674690.00	0.00	3.00	0.00	2722855.00	1024122.00	0.00	1024097.00	674635.00	1.00	0.00	0.00	1703827.00	851918.00	0.00	851852.00	55.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	114.00	2550612.00	
8	4433564.00	2553433.00	1313.00	1878769.00	0.00	49.00	4432793.00	1879079.00	0.00	1879087.00	674579.00	0.00	1.00	0.00	2728629.00	1027050.00	0.00	1027060.00	674518.00	1.00	0.00	0.00	1704119.00	852031.00	0.00	852027.00	61.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	145.00	2553437.00	
9	4437359.00	2556927.00	1038.00	1879359.00	0.00	37.00	4434488.00	1878676.00	0.00	1878610.00	677248.00	0.00	2.00	0.00	2729860.00	1026361.00	0.00	1026327.00	677169.00	2.00	0.00	0.00	1704677.00	852316.00	0.00	852283.00	78.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.00	2556931.00	
10	4437979.00	2556580.00	1073.00	1880254.00	0.00	72.00	4436949.00	1880283.00	0.00	1880378.00	676217.00	0.00	1.00	0.00	2730302.00	1027067.00	0.00	1027081.00	676155.00	0.00	0.00	0.00	1706581.00	853218.00	0.00	853299.00	63.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	110.00	2556584.00	
11	4441387.00	2558568.00	1026.00	1881766.00	0.00	27.00	4439965.00	1881624.00	0.00	1881622.00	676714.00	0.00	4.00	0.00	2731883.00	1027613.00	0.00	1027614.00	676655.00	2.00	0.00	0.00	1708081.00	854011.00	0.00	854009.00	59.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	109.00	2558581.00	
12	4430183.00	2551439.00	1126.00	1877603.00	0.00	15.00	4429456.00	1877805.00	0.00	1877809.00	673761.00	0.00	3.00	0.00	2723268.00	1024788.00	0.00	1024772.00	673706.00	3.00	0.00	0.00	1706113.00	853020.00	0.00	853038.00	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	120.00	2551437.00	
