second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
17	3677231.00	1999177.00	80729.00	1523926.00	0.00	73400.00	3523251.00	1523974.00	0.00	1523825.00	475428.00	0.00	37.00	0.00	1220133.00	397746.00	0.00	397773.00	424614.00	0.00	0.00	0.00	2303132.00	1126229.00	0.00	1126051.00	50814.00	0.00	0.00	0.00	37.00	0.00	0.00	0.00	0.00	0.00	1999179.00	
18	3690023.00	2009980.00	79614.00	1526697.00	0.00	73732.00	3536554.00	1526709.00	0.00	1526735.00	483036.00	0.00	36.00	0.00	1221440.00	395846.00	0.00	395861.00	429738.00	0.00	0.00	0.00	2315083.00	1130867.00	0.00	1130882.00	53298.00	0.00	0.00	0.00	36.00	0.00	0.00	0.00	0.00	1.00	2009985.00	
19	3676894.00	1999665.00	80505.00	1523197.00	0.00	73527.00	3522533.00	1523063.00	0.00	1522920.00	476557.00	0.00	38.00	0.00	1217627.00	396847.00	0.00	396852.00	423928.00	0.00	0.00	0.00	2304951.00	1126216.00	0.00	1126068.00	52629.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	1999672.00	
20	3687266.00	2005654.00	80082.00	1529136.00	0.00	72394.00	3534430.00	1529008.00	0.00	1529083.00	476382.00	0.00	25.00	0.00	1220868.00	398444.00	0.00	398434.00	423991.00	0.00	0.00	0.00	2313630.00	1130564.00	0.00	1130649.00	52392.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	1.00	2005657.00	
21	3673232.00	1997247.00	79870.00	1522752.00	0.00	73363.00	3520455.00	1522972.00	0.00	1522789.00	474643.00	0.00	30.00	0.00	1216108.00	397241.00	0.00	397242.00	421625.00	0.00	0.00	0.00	2304327.00	1125732.00	0.00	1125547.00	53018.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	1997243.00	
22	2386619.00	1269727.00	134530.00	918335.00	0.00	64028.00	2186217.00	917662.00	0.00	919454.00	348962.00	0.00	118.00	0.00	15075.00	7294.00	0.00	7674.00	107.00	0.00	0.00	0.00	2171122.00	910368.00	0.00	911781.00	348855.00	0.00	0.00	0.00	118.00	0.00	0.00	0.00	0.00	0.00	1269726.00	
23	2386808.00	1244694.00	148104.00	940884.00	0.00	53126.00	2185679.00	940886.00	0.00	941010.00	303714.00	0.00	55.00	0.00	14111.00	7055.00	0.00	7056.00	0.00	0.00	0.00	0.00	2171558.00	933833.00	0.00	933956.00	303714.00	0.00	0.00	0.00	55.00	0.00	0.00	0.00	0.00	0.00	1244699.00	
24	2398359.00	1248834.00	147619.00	948648.00	0.00	53258.00	2197368.00	948638.00	0.00	948510.00	300188.00	0.00	26.00	0.00	13816.00	6908.00	0.00	6908.00	0.00	0.00	0.00	0.00	2183547.00	941730.00	0.00	941602.00	300188.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	1.00	1248834.00	
25	2396529.00	1247870.00	148735.00	946912.00	0.00	53013.00	2194868.00	946930.00	0.00	946868.00	301066.00	0.00	36.00	0.00	13953.00	6977.00	0.00	6976.00	0.00	0.00	0.00	0.00	2180948.00	939952.00	0.00	939894.00	301066.00	0.00	0.00	0.00	36.00	0.00	0.00	0.00	0.00	2.00	1247874.00	
26	2389636.00	1243356.00	148299.00	944368.00	0.00	53613.00	2187701.00	944349.00	0.00	944381.00	298931.00	0.00	26.00	0.00	13734.00	6866.00	0.00	6868.00	0.00	0.00	0.00	0.00	2173953.00	937483.00	0.00	937513.00	298931.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	2.00	1243358.00	
27	2372448.00	1232841.00	147894.00	937478.00	0.00	54235.00	2170313.00	937509.00	0.00	937474.00	295310.00	0.00	28.00	0.00	13423.00	6712.00	0.00	6711.00	0.00	0.00	0.00	0.00	2156900.00	930799.00	0.00	930763.00	295311.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	7.00	1232843.00	
28	2344294.00	1215285.00	148802.00	926086.00	0.00	54121.00	2141394.00	926125.00	0.00	925955.00	289293.00	0.00	46.00	0.00	13359.00	6680.00	0.00	6679.00	0.00	0.00	0.00	0.00	2128060.00	919445.00	0.00	919276.00	289293.00	0.00	0.00	0.00	46.00	0.00	0.00	0.00	0.00	19.00	1215284.00	
29	2371332.00	1232288.00	147643.00	936335.00	0.00	55067.00	2168494.00	936253.00	0.00	936295.00	295863.00	0.00	27.00	0.00	13727.00	6862.00	0.00	6865.00	0.00	0.00	0.00	0.00	2154714.00	929393.00	0.00	929431.00	295865.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00	0.00	15.00	1232286.00	
30	2360093.00	1225436.00	147604.00	932286.00	0.00	54767.00	2157798.00	932347.00	0.00	932328.00	293113.00	0.00	32.00	0.00	13439.00	6721.00	0.00	6718.00	0.00	0.00	0.00	0.00	2144382.00	925627.00	0.00	925610.00	293113.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	21.00	1225441.00	
31	2359915.00	1225324.00	147332.00	932339.00	0.00	54920.00	2157602.00	932301.00	0.00	932120.00	293126.00	0.00	37.00	0.00	13525.00	6760.00	0.00	6765.00	0.00	0.00	0.00	0.00	2144059.00	925541.00	0.00	925355.00	293126.00	0.00	0.00	0.00	37.00	0.00	0.00	0.00	0.00	21.00	1225326.00	
32	2360668.00	1222654.00	147195.00	935264.00	0.00	55555.00	2157893.00	935338.00	0.00	935285.00	287298.00	0.00	34.00	0.00	14019.00	7011.00	0.00	7008.00	0.00	0.00	0.00	0.00	2143937.00	928326.00	0.00	928279.00	287297.00	0.00	0.00	0.00	34.00	0.00	0.00	0.00	0.00	30.00	1222653.00	
33	2360679.00	1223163.00	147260.00	935089.00	0.00	55167.00	2158065.00	934979.00	0.00	935028.00	287963.00	0.00	32.00	0.00	13805.00	6903.00	0.00	6902.00	0.00	0.00	0.00	0.00	2144201.00	928079.00	0.00	928127.00	287963.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	58.00	1223165.00	
34	2351856.00	1218322.00	146444.00	931872.00	0.00	55219.00	2150182.00	931929.00	0.00	931887.00	286369.00	0.00	28.00	0.00	13861.00	6929.00	0.00	6932.00	0.00	0.00	0.00	0.00	2136352.00	925000.00	0.00	924956.00	286369.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	41.00	1218326.00	
35	2337512.00	1210913.00	146104.00	924709.00	0.00	55786.00	2135698.00	924762.00	0.00	924639.00	286287.00	0.00	27.00	0.00	14121.00	7061.00	0.00	7060.00	0.00	0.00	0.00	0.00	2121594.00	917701.00	0.00	917579.00	286287.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00	0.00	41.00	1210914.00	
36	2358481.00	1221650.00	146708.00	935559.00	0.00	54564.00	2157114.00	935494.00	0.00	935428.00	286059.00	0.00	48.00	0.00	13887.00	6945.00	0.00	6942.00	0.00	0.00	0.00	0.00	2143146.00	928553.00	0.00	928486.00	286059.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00	0.00	44.00	1221645.00	
37	2369049.00	1224330.00	147287.00	942575.00	0.00	54857.00	2166694.00	942554.00	0.00	942492.00	281689.00	0.00	32.00	0.00	14110.00	7054.00	0.00	7056.00	0.00	0.00	0.00	0.00	2152657.00	935500.00	0.00	935436.00	281689.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	23.00	1224335.00	
