second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	4304869.00	2921728.00	5233.00	1377893.00	0.00	15.00	4299819.00	1377982.00	0.00	1377904.00	1543822.00	0.00	1.00	0.00	2767766.00	826803.00	0.00	826771.00	1114191.00	1.00	0.00	0.00	1531946.00	551180.00	0.00	551133.00	429633.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	154.00	2921727.00	
3	4316312.00	2938233.00	5748.00	1372302.00	0.00	31.00	4309397.00	1371976.00	0.00	1372436.00	1565111.00	0.00	9.00	0.00	2781392.00	824610.00	0.00	824869.00	1131909.00	5.00	0.00	0.00	1528141.00	547366.00	0.00	547567.00	433204.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	102.00	2938249.00	
4	4329870.00	2933074.00	5986.00	1390798.00	0.00	12.00	4324599.00	1391199.00	0.00	1390952.00	1542440.00	0.00	22.00	0.00	2785577.00	834258.00	0.00	834139.00	1117179.00	2.00	0.00	0.00	1539036.00	556941.00	0.00	556813.00	425262.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	175.00	2933079.00	
5	4334761.00	2930637.00	5699.00	1398412.00	0.00	13.00	4328089.00	1398144.00	0.00	1398021.00	1531890.00	0.00	1.00	0.00	2787254.00	838925.00	0.00	838904.00	1109424.00	1.00	0.00	0.00	1540803.00	559220.00	0.00	559117.00	422466.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	146.00	2930637.00	
6	4338097.00	2937882.00	5946.00	1394260.00	0.00	9.00	4332729.00	1394459.00	0.00	1394503.00	1543730.00	0.00	3.00	0.00	2788795.00	836751.00	0.00	836719.00	1115322.00	3.00	0.00	0.00	1543902.00	557709.00	0.00	557784.00	428409.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	161.00	2937882.00	
7	4324175.00	2939181.00	6172.00	1378795.00	0.00	27.00	4318015.00	1378903.00	0.00	1378802.00	1560333.00	0.00	0.00	0.00	2778878.00	826692.00	0.00	826671.00	1125517.00	0.00	0.00	0.00	1539162.00	552212.00	0.00	552131.00	434820.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	129.00	2939181.00	
8	4330539.00	2937446.00	5143.00	1387927.00	0.00	24.00	4324039.00	1387635.00	0.00	1387548.00	1548758.00	0.00	6.00	0.00	2788660.00	833397.00	0.00	833255.00	1122003.00	5.00	0.00	0.00	1535288.00	554240.00	0.00	554292.00	426755.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	174.00	2937452.00	
9	4329043.00	2931904.00	5379.00	1391759.00	0.00	1.00	4323553.00	1391877.00	0.00	1391845.00	1539907.00	0.00	3.00	0.00	2780635.00	833323.00	0.00	833318.00	1113991.00	3.00	0.00	0.00	1542996.00	558553.00	0.00	558527.00	425916.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.00	2931914.00	
10	4314195.00	2942977.00	5839.00	1365355.00	0.00	24.00	4310033.00	1365497.00	0.00	1365901.00	1578599.00	0.00	6.00	0.00	2785770.00	822173.00	0.00	822444.00	1141153.00	0.00	0.00	0.00	1524236.00	543324.00	0.00	543459.00	437447.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	123.00	2942980.00	
11	4304035.00	2983835.00	5993.00	1314200.00	0.00	7.00	4297914.00	1314352.00	0.00	1314088.00	1669442.00	0.00	32.00	0.00	2777979.00	796018.00	0.00	795926.00	1186032.00	2.00	0.00	0.00	1519935.00	518334.00	0.00	518161.00	483410.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	156.00	2983839.00	
12	4316669.00	2987387.00	5729.00	1323522.00	0.00	33.00	4308619.00	1323023.00	0.00	1322849.00	1662661.00	0.00	118.00	0.00	2787595.00	801761.00	0.00	801674.00	1184160.00	0.00	0.00	0.00	1521056.00	521262.00	0.00	521175.00	478501.00	0.00	0.00	0.00	118.00	0.00	0.00	0.00	0.00	156.00	2987395.00	
13	4315285.00	2990008.00	6104.00	1319138.00	0.00	35.00	4310247.00	1319485.00	0.00	1319517.00	1671099.00	0.00	26.00	0.00	2787959.00	801600.00	0.00	801624.00	1184735.00	0.00	0.00	0.00	1522171.00	517887.00	0.00	517893.00	486365.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	156.00	2990010.00	
14	4305100.00	2989665.00	6153.00	1309265.00	0.00	17.00	4298371.00	1308902.00	0.00	1308983.00	1680520.00	0.00	14.00	0.00	2780598.00	796213.00	0.00	796236.00	1188149.00	0.00	0.00	0.00	1517822.00	512688.00	0.00	512749.00	492371.00	0.00	0.00	0.00	14.00	0.00	0.00	0.00	0.00	162.00	2989667.00	
15	4306576.00	2987704.00	5219.00	1313595.00	0.00	58.00	4303092.00	1314355.00	0.00	1314355.00	1674462.00	0.00	7.00	0.00	2788181.00	797630.00	0.00	797645.00	1192906.00	0.00	0.00	0.00	1514999.00	516726.00	0.00	516710.00	481556.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	155.00	2987712.00	
16	4309488.00	2985896.00	5611.00	1317950.00	0.00	31.00	4302064.00	1317015.00	0.00	1317310.00	1667618.00	0.00	1.00	0.00	2781531.00	797861.00	0.00	798044.00	1185627.00	0.00	0.00	0.00	1520416.00	519154.00	0.00	519266.00	481995.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	118.00	2985903.00	
