second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
131	31556704.00	17163476.00	46799.00	14346430.00	0.00	0.00	31510072.00	14346493.00	0.00	14346507.00	2816944.00	0.00	35.00	0.00	19995260.00	8589179.00	0.00	8589184.00	2816868.00	30.00	0.00	0.00	11514718.00	5757314.00	0.00	5757323.00	76.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	49.00	17163476.00	
132	31555248.00	17162744.00	46892.00	14345616.00	0.00	0.00	31508000.00	14345474.00	0.00	14345409.00	2817023.00	0.00	39.00	0.00	20001408.00	8592226.00	0.00	8592193.00	2816956.00	33.00	0.00	0.00	11506539.00	5753249.00	0.00	5753217.00	67.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	49.00	17162744.00	
133	31518436.00	17141788.00	47036.00	14329613.00	0.00	0.00	31472040.00	14329937.00	0.00	14329808.00	2812179.00	0.00	34.00	0.00	19975132.00	8581512.00	0.00	8581456.00	2812138.00	27.00	0.00	0.00	11496827.00	5748425.00	0.00	5748354.00	41.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	47.00	17141792.00	
134	31543060.00	17154376.00	47803.00	14340879.00	0.00	0.00	31494728.00	14340562.00	0.00	14340641.00	2813433.00	0.00	29.00	0.00	19994980.00	8590775.00	0.00	8590786.00	2813397.00	23.00	0.00	0.00	11499685.00	5749787.00	0.00	5749856.00	36.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	45.00	17154380.00	
135	31546620.00	17156248.00	48468.00	14341906.00	0.00	0.00	31498404.00	14341971.00	0.00	14341970.00	2814316.00	0.00	34.00	0.00	20002392.00	8594041.00	0.00	8594050.00	2814273.00	27.00	0.00	0.00	11495899.00	5747930.00	0.00	5747920.00	42.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	46.00	17156248.00	
136	31539164.00	17151852.00	48779.00	14338533.00	0.00	0.00	31490634.00	14338691.00	0.00	14338563.00	2813263.00	0.00	29.00	0.00	19997796.00	8592311.00	0.00	8592238.00	2813220.00	28.00	0.00	0.00	11492749.00	5746380.00	0.00	5746325.00	43.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	49.00	17151852.00	
137	31579572.00	17172860.00	48796.00	14357917.00	0.00	0.00	31530486.00	14357737.00	0.00	14357731.00	2814906.00	0.00	43.00	0.00	20016152.00	8600606.00	0.00	8600616.00	2814889.00	40.00	0.00	0.00	11514267.00	5757131.00	0.00	5757116.00	17.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	49.00	17172864.00	
138	31582812.00	17175862.00	48800.00	14358152.00	0.00	0.00	31533970.00	14358065.00	0.00	14358076.00	2817644.00	0.00	39.00	0.00	20011824.00	8597086.00	0.00	8597080.00	2817628.00	31.00	0.00	0.00	11522000.00	5760980.00	0.00	5760996.00	16.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	49.00	17175860.00	
139	31576328.00	17171604.00	48812.00	14355910.00	0.00	0.00	31527952.00	14356131.00	0.00	14356040.00	2815671.00	0.00	37.00	0.00	20004792.00	8594557.00	0.00	8594539.00	2815668.00	28.00	0.00	0.00	11523087.00	5761574.00	0.00	5761501.00	3.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00	0.00	50.00	17171608.00	
140	31603720.00	17186710.00	48821.00	14368189.00	0.00	0.00	31554936.00	14368135.00	0.00	14368162.00	2818474.00	0.00	30.00	0.00	20021840.00	8601690.00	0.00	8601659.00	2818467.00	26.00	0.00	0.00	11532959.00	5766445.00	0.00	5766503.00	7.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	48.00	17186708.00	
141	31544100.00	17153886.00	48832.00	14341383.00	0.00	0.00	31495258.00	14341328.00	0.00	14341297.00	2812488.00	0.00	33.00	0.00	19979294.00	8583392.00	0.00	8583391.00	2812482.00	29.00	0.00	0.00	11515853.00	5757936.00	0.00	5757906.00	7.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	53.00	17153888.00	
142	31591174.00	17179318.00	48824.00	14363034.00	0.00	0.00	31542882.00	14363356.00	0.00	14363220.00	2816135.00	0.00	38.00	0.00	20017268.00	8600582.00	0.00	8600518.00	2816132.00	35.00	0.00	0.00	11525482.00	5762774.00	0.00	5762702.00	3.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	49.00	17179320.00	
143	31515508.00	17138352.00	48802.00	14328355.00	0.00	0.00	31466242.00	14328081.00	0.00	14328051.00	2810023.00	0.00	27.00	0.00	19982664.00	8586316.00	0.00	8586306.00	2810019.00	24.00	0.00	0.00	11483517.00	5741766.00	0.00	5741744.00	4.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	48.00	17138354.00	
144	31479792.00	17119000.00	48906.00	14311887.00	0.00	0.00	31431200.00	14312001.00	0.00	14312012.00	2807021.00	0.00	24.00	0.00	19977172.00	8585070.00	0.00	8585071.00	2807008.00	22.00	0.00	0.00	11453890.00	5726932.00	0.00	5726943.00	13.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	49.00	17119000.00	
145	31491872.00	17125296.00	48741.00	14317835.00	0.00	0.00	31443112.00	14317763.00	0.00	14317803.00	2807474.00	0.00	23.00	0.00	19997198.00	8594844.00	0.00	8594866.00	2807470.00	19.00	0.00	0.00	11445862.00	5722917.00	0.00	5722938.00	4.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	48.00	17125294.00	
146	31571104.00	17168846.00	48752.00	14353506.00	0.00	0.00	31521970.00	14353388.00	0.00	14353297.00	2815181.00	0.00	17.00	0.00	20054566.00	8619713.00	0.00	8619665.00	2815174.00	15.00	0.00	0.00	11467316.00	5733675.00	0.00	5733632.00	7.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	49.00	17168850.00	
147	31514468.00	17137412.00	48730.00	14328323.00	0.00	0.00	31466708.00	14328808.00	0.00	14328735.00	2809088.00	0.00	14.00	0.00	20023252.00	8607099.00	0.00	8607059.00	2809081.00	14.00	0.00	0.00	11443392.00	5721709.00	0.00	5721676.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	48.00	17137416.00	
148	31573072.00	17169422.00	48738.00	14354909.00	0.00	0.00	31523480.00	14354423.00	0.00	14354497.00	2814466.00	0.00	16.00	0.00	20054332.00	8619913.00	0.00	8619952.00	2814453.00	16.00	0.00	0.00	11469068.00	5734510.00	0.00	5734545.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.00	17169420.00	
149	31465546.00	17109756.00	49807.00	14305980.00	0.00	0.00	31416410.00	14306269.00	0.00	14306262.00	2803767.00	0.00	20.00	0.00	19972454.00	8584337.00	0.00	8584339.00	2803761.00	16.00	0.00	0.00	11443864.00	5721932.00	0.00	5721923.00	5.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	50.00	17109758.00	
150	31248264.00	16992574.00	49050.00	14206641.00	0.00	0.00	31198536.00	14206343.00	0.00	14206272.00	2785804.00	0.00	18.00	0.00	19812448.00	8513334.00	0.00	8513308.00	2785790.00	17.00	0.00	0.00	11385988.00	5693009.00	0.00	5692964.00	14.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	49.00	16992576.00	
151	31477096.00	17112044.00	48539.00	14316508.00	0.00	5.00	31429696.00	14316726.00	0.00	14316240.00	2795557.00	0.00	581.00	0.00	14268108.00	5852538.00	0.00	5852723.00	2562266.00	581.00	0.00	0.00	17160996.00	8464188.00	0.00	8463517.00	233291.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.00	17112040.00	
152	31229016.00	16954836.00	44455.00	14229726.00	0.00	0.00	31184376.00	14229605.00	0.00	14229467.00	2725057.00	0.00	126.00	0.00	17750868.00	7513026.00	0.00	7512919.00	2724799.00	125.00	0.00	0.00	13433386.00	6716579.00	0.00	6716548.00	258.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	48.00	16954838.00	
