second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	2666469.00	186994.00	2317629.00	158075.00	0.00	3771.00	333668.00	158075.00	0.00	158014.00	17143.00	0.00	61.00	0.00	213822.00	98554.00	0.00	98530.00	16680.00	58.00	0.00	0.00	119471.00	59521.00	0.00	59484.00	463.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	11768.00	186994.00	
3	2667091.00	188209.00	2318614.00	159276.00	0.00	992.00	335720.00	159276.00	0.00	159275.00	17157.00	0.00	1.00	0.00	214020.00	98466.00	0.00	98466.00	17088.00	0.00	0.00	0.00	121689.00	60810.00	0.00	60809.00	69.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	11776.00	188209.00	
4	2675506.00	184562.00	2330176.00	160352.00	0.00	416.00	333138.00	160352.00	0.00	160351.00	12434.00	0.00	1.00	0.00	221169.00	104381.00	0.00	104381.00	12407.00	0.00	0.00	0.00	111969.00	55971.00	0.00	55970.00	27.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	11776.00	184562.00	
5	2690613.00	188384.00	2334268.00	167830.00	0.00	131.00	344438.00	167830.00	0.00	167828.00	8778.00	0.00	2.00	0.00	237295.00	114261.00	0.00	114261.00	8773.00	0.00	0.00	0.00	107143.00	53569.00	0.00	53567.00	5.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	11776.00	188384.00	
6	2691572.00	189448.00	2335886.00	166145.00	0.00	93.00	343827.00	166145.00	0.00	166131.00	11527.00	0.00	14.00	0.00	236106.00	112284.00	0.00	112283.00	11525.00	14.00	0.00	0.00	107711.00	53861.00	0.00	53848.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	189448.00	
7	2705055.00	192622.00	2336421.00	175902.00	0.00	110.00	356787.00	175902.00	0.00	175899.00	4944.00	0.00	3.00	0.00	223817.00	109437.00	0.00	109437.00	4940.00	3.00	0.00	0.00	132931.00	66465.00	0.00	66462.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	192622.00	
8	2694210.00	185327.00	2338784.00	170099.00	0.00	0.00	343650.00	170099.00	0.00	170099.00	3452.00	0.00	0.00	0.00	223756.00	110153.00	0.00	110153.00	3450.00	0.00	0.00	0.00	119894.00	59946.00	0.00	59946.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	185327.00	
9	2716506.00	195394.00	2339547.00	181565.00	0.00	0.00	365183.00	181565.00	0.00	181565.00	2053.00	0.00	0.00	0.00	233742.00	115849.00	0.00	115849.00	2044.00	0.00	0.00	0.00	131441.00	65716.00	0.00	65716.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	195394.00	
10	2715505.00	194370.00	2340048.00	181087.00	0.00	0.00	363681.00	181087.00	0.00	181085.00	1507.00	0.00	2.00	0.00	225399.00	111946.00	0.00	111946.00	1505.00	2.00	0.00	0.00	138282.00	69141.00	0.00	69139.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	194370.00	
11	2693702.00	183299.00	2340431.00	169972.00	0.00	0.00	341502.00	169972.00	0.00	169965.00	1551.00	0.00	7.00	0.00	209332.00	103888.00	0.00	103886.00	1551.00	7.00	0.00	0.00	132163.00	66084.00	0.00	66079.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	183299.00	
12	2715257.00	193727.00	2340275.00	181255.00	0.00	0.00	363214.00	181255.00	0.00	181254.00	696.00	0.00	1.00	0.00	223839.00	111572.00	0.00	111572.00	694.00	1.00	0.00	0.00	139367.00	69683.00	0.00	69682.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	193727.00	
13	2718182.00	195217.00	2340131.00	182834.00	0.00	0.00	366276.00	182834.00	0.00	182834.00	607.00	0.00	0.00	0.00	231309.00	115351.00	0.00	115351.00	607.00	0.00	0.00	0.00	134966.00	67483.00	0.00	67483.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	195217.00	
14	2695851.00	186883.00	2340445.00	168523.00	0.00	0.00	343632.00	168523.00	0.00	168512.00	6584.00	0.00	11.00	0.00	225049.00	109228.00	0.00	109226.00	6584.00	11.00	0.00	0.00	118581.00	59295.00	0.00	59286.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	186883.00	
15	2683513.00	177684.00	2340536.00	165293.00	0.00	0.00	331203.00	165293.00	0.00	165292.00	615.00	0.00	1.00	0.00	210808.00	105096.00	0.00	105096.00	615.00	1.00	0.00	0.00	120393.00	60197.00	0.00	60196.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	177684.00	
16	2653801.00	162521.00	2340827.00	150453.00	0.00	0.00	301199.00	150453.00	0.00	150453.00	292.00	0.00	0.00	0.00	196983.00	98346.00	0.00	98346.00	291.00	0.00	0.00	0.00	104215.00	52107.00	0.00	52107.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	162521.00	
17	2671324.00	171359.00	2340693.00	159272.00	0.00	0.00	318855.00	159272.00	0.00	159272.00	311.00	0.00	0.00	0.00	209815.00	104752.00	0.00	104752.00	311.00	0.00	0.00	0.00	109040.00	54520.00	0.00	54520.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	171359.00	
18	2705955.00	188985.00	2340368.00	176602.00	0.00	0.00	353812.00	176602.00	0.00	176597.00	607.00	0.00	5.00	0.00	226363.00	112876.00	0.00	112876.00	606.00	5.00	0.00	0.00	127448.00	63726.00	0.00	63721.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	188985.00	
19	2712717.00	192647.00	2340421.00	179649.00	0.00	0.00	360525.00	179649.00	0.00	179643.00	1222.00	0.00	6.00	0.00	227691.00	113232.00	0.00	113231.00	1222.00	6.00	0.00	0.00	132829.00	66417.00	0.00	66412.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	192647.00	
20	2674826.00	172999.00	2340773.00	161054.00	0.00	0.00	322285.00	161054.00	0.00	161053.00	169.00	0.00	1.00	0.00	203274.00	101552.00	0.00	101552.00	169.00	1.00	0.00	0.00	119003.00	59502.00	0.00	59501.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11776.00	172999.00	
