hit_rate_ini:	0.0441542	miss_ratio_ini:	1
998407	87310	0.0439763	1	1
998211	49715	0.0439749	1	1
998718	209178	0.0439747	1	1
998286	200863	0.0439744	1	1
998822	58466	0.0439732	1	1
998226	55113	0.043972	1	1
998208	72464	0.043971	1	1
998347	49367	0.0439696	1	1
998278	55228	0.0439684	1	1
998268	322038	0.0439682	1	1
998245	67461	0.0439672	1	1
998363	72207	0.0439663	1	1
998925	69672	0.0439653	1	1
998212	52624	0.043964	1	1
998694	67914	0.0439631	1	1
998884	82314	0.0439622	1	1
999118	80327	0.0439614	1	1
998795	113097	0.0439608	1	1
998732	44345	0.0439593	1	1
998281	64969	0.0439582	1	1
998867	65596	0.0439572	1	1
998274	223064	0.043957	1	1
998911	129386	0.0439565	1	1
998707	51338	0.0439551	1	1
998971	47119	0.0439537	1	1
998266	45491	0.0439522	1	1
998453	46944	0.0439507	1	1
998342	52682	0.0439494	1	1
998628	118555	0.0439488	1	1
998267	48509	0.0439474	1	1
998304	39895	0.0439457	1	1
999052	56134	0.0439445	1	1
998018	61368	0.0439434	1	1
998641	50443	0.043942	1	1
998319	44107	0.0439404	1	1
998324	55519	0.0439392	1	1
998725	62622	0.0439381	1	1
999000	71615	0.0439372	1	1
998940	87530	0.0439364	1	1
998009	49047	0.043935	1	1
998303	517626	0.043935	1	1
999025	153173	0.0439346	1	1
998659	66677	0.0439335	1	1
998375	47189	0.0439321	1	1
998761	184969	0.0439318	1	1
998883	53464	0.0439305	1	1
998005	162266	0.0439301	1	1
998520	80602	0.0439293	1	1
999203	67604	0.0439283	1	1
998914	71888	0.0439273	1	1
998672	44741	0.0439258	1	1
998333	61109	0.0439247	1	1
999069	41529	0.043923	1	1
998013	48078	0.0439216	1	1
998343	72764	0.0439207	1	1
999212	85786	0.0439199	1	1
998817	50773	0.0439185	1	1
998985	64225	0.0439175	1	1
998296	102646	0.0439169	1	1
998285	81140	0.043916	1	1
998356	153243	0.0439156	1	1
999285	270273	0.0439154	1	1
998886	53248	0.0439141	1	1
998927	85069	0.0439134	1	1
998771	60245	0.0439122	1	1
998749	90193	0.0439115	1	1
998871	44778	0.04391	1	1
998840	83277	0.0439092	1	1
998003	58132	0.043908	1	1
998239	49286	0.0439066	1	1
998368	144637	0.0439062	1	1
998220	90730	0.0439054	1	1
998848	104969	0.0439048	1	1
999120	153803	0.0439044	1	1
998890	48352	0.043903	1	1
998445	41570	0.0439013	1	1
998541	44040	0.0438998	1	1
998007	58081	0.0438986	1	1
998951	55188	0.0438974	1	1
999166	47434	0.0438959	1	1
998766	101725	0.0438953	1	1
998231	58973	0.0438941	1	1
998293	216959	0.0438938	1	1
998755	102762	0.0438932	1	1
998652	128894	0.0438927	1	1
998860	49255	0.0438913	1	1
999189	47507	0.0438899	1	1
998796	76442	0.043889	1	1
998217	131042	0.0438885	1	1
998844	57506	0.0438873	1	1
999054	84588	0.0438865	1	1
998443	270129	0.0438863	1	1
998001	40748	0.0438846	1	1
998216	53789	0.0438834	1	1
999026	50499	0.043882	1	1
998382	184718	0.0438817	1	1
998770	98070	0.043881	1	1
998706	62420	0.0438799	1	1
998012	103803	0.0438793	1	1
999277	41925	0.0438777	1	1
998309	141059	0.0438772	1	1
998323	107397	0.0438766	1	1
998972	146280	0.0438762	1	1
999325	55853	0.043875	1	1
998649	787450	0.0438749	1	1
998861	45326	0.0438734	1	1
998308	241680	0.0438732	1	1
998905	314388	0.043873	1	1
998924	44270	0.0438715	1	1
999336	65154	0.0438704	1	1
998270	219778	0.0438702	1	1
998306	89956	0.0438694	1	1
998995	114667	0.0438689	1	1
998502	58112	0.0438677	1	1
998395	64436	0.0438667	1	1
998868	68718	0.0438657	1	1
998016	64206	0.0438646	1	1
998348	73029	0.0438637	1	1
998651	49727	0.0438623	1	1
998568	100159	0.0438617	1	1
